30750639
/m/0gfdh1x
/m/0gfdh1x
Lorrie Moore
2009
20 1
a 20
about 1
academically 1
accepted 1
accident 1
accounts 1
activities 1
actually 3
addresses 1
adopt 1
adoption 1
advice 1
affair 1
afghanistan 1
after 1
age 1
almost 1
also 2
amidst 1
an 2
and 11
answers 1
anyway 1
approaches 1
are 3
army 3
arrows 1
as 4
asking 1
asks 1
at 6
athens 1
attempts 1
attending 1
attends 1
away 1
awry 1
back 1
be 1
bearsbut 1
behavior 1
being 1
believes 1
biological 1
biracial 1
bizarre 1
blames 1
bliss 1
books 2
boot 2
boy 1
brazilian 2
brink 4
brinks 2
brother 1
but 2
by 3
call 1
camp 2
car 1
care 1
cared 1
caregiver 1
cell 1
chapters 1
character 1
child 4
childcare 1
children 1
classes 1
climb 1
closes 1
coffee 1
college 4
communicated 1
conflicting 1
cup 1
death 2
declined 1
decrepitude 1
denies 1
devastated 1
died 1
dinner 1
directly 1
disappear 1
discovered 1
discovers 1
does 1
doesnt 1
down 1
earlier 1
edward 2
else 1
email 1
embroiled 1
emerges 1
emmie 2
ends 2
enlists 1
even 1
eventually 1
experience 1
failed 1
family 2
farm 1
fashion 1
few 2
finds 2
first 1
fixed 1
foot 1
for 6
fort 1
foster 1
fouryear 1
from 6
front 1
further 1
gate 2
gates 1
get 1
go 1
goes 1
good 1
goodbye 1
gorra 1
gotten 1
hand 1
have 4
having 2
he 13
her 10
herself 2
highway 3
him 4
hinges 1
hire 1
hiring 1
his 3
hitch 1
hoboken 1
house 2
how 1
however 1
husband 1
i 1
id 1
identified 1
illdisguised 1
immediately 1
in 9
includes 1
informing 1
insubordinate 1
into 1
invites 1
is 18
issues 1
it 7
items 1
its 2
itself 1
jersey 1
jihad 1
job 1
join 1
kakutani 1
keep 1
keltjin 3
keltjins 1
killed 2
later 1
learned 1
lifes 1
lions 1
lockedat 1
looking 1
loss 1
lost 1
lyric 1
main 1
major 1
makedo 1
making 1
man 1
many 1
meaning 1
meet 1
mentally 1
met 1
michael 1
michiko 1
midwest 1
mother 1
mourning 1
mourns 1
much 1
muhammed 1
multiple 2
must 1
name 1
named 1
nanny 2
needful 1
new 1
next 1
no 1
not 4
note 1
notes 1
novel 4
novels 1
now 1
odd 1
of 14
off 1
on 5
oncoming 1
one 1
only 2
onto 1
opens 1
other 1
out 1
parents 1
part 1
people 1
portuguese 1
proceedings 1
properly 1
punished 1
purports 1
put 1
quotes 1
reader 1
real 1
recuperating 1
refers 2
relationship 1
repeatedly 1
rest 1
returns 1
reynaldo 5
robert 3
safety 1
sara 1
sarah 2
saying 2
says 1
she 9
should 1
significance 1
slightly 1
slings 1
small 1
someones 1
something 1
son 1
song 1
soon 1
spanish 1
speaks 1
spends 1
split 1
staircasepast 1
staircases 1
stairs 2
starts 1
states 1
stop 2
student 1
succeed 1
suspected 1
symbolic 1
taken 1
takes 1
tassie 12
telephone 1
tells 3
terrorist 1
that 16
the 44
their 2
then 3
theories 1
there 2
thing 1
things 3
thinks 1
this 1
though 1
title 2
to 12
top 1
toppling 1
united 1
university 1
unread 1
up 2
use 1
vehicle 1
walked 1
was 1
weeks 1
when 6
where 2
whether 1
which 2
who 2
whom 1
wife 1
willing 1
with 3
within 1
words 1
writes 1
wrong 3
wrote 1
year 1
years 1
yet 1
