309408
/m/01szvg
/m/01szvg
Isaac Asimov
1985
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
150 1
50thestablished 1
a 17
abandon 1
abandoned 2
ability 1
about 3
accept 1
accompanied 1
across 1
action 1
actions 1
additional 1
adjust 1
admits 1
adventures 1
after 1
against 1
agoraphobia 1
agrees 1
aliena 1
all 5
allowing 2
allows 1
alone 2
alpha 1
also 1
amadiro 19
ambitious 1
an 4
and 28
antisettler 1
any 1
apprentice 1
archrivals 1
are 5
as 6
asimov 2
asks 1
assemble 1
at 6
attack 1
attempt 1
aurora 1
away 1
balance 1
baley 6
barbarians 1
be 5
because 1
become 1
becomes 1
been 5
before 3
behind 1
beings 2
benefit 1
benign 1
bequeathed 1
best 2
beta 1
better 1
beyond 1
bitter 1
blockings 1
books 1
both 1
brain 4
brilliant 1
bring 1
burden 1
burgeoning 1
by 12
calling 1
can 2
carrier 1
carry 1
cascading 1
catastrophe 2
caused 1
causes 1
centuries 2
centurieslong 1
changed 1
changing 1
civilization 1
claims 1
clearly 1
colonies 1
colonization 1
colonized 1
compelled 1
confers 1
confrontation 1
confronts 1
consequences 1
consider 1
continually 1
continue 1
contradicts 1
correctly 1
could 1
course 1
coveted 1
creating 1
creator 1
cruel 1
crust 1
damage 1
daneel 9
daughter 2
deal 1
death 2
debating 1
decades 3
decay 3
decide 1
decides 3
deduces 1
delmarre 1
descendant 1
descendants 1
destroy 1
destroyed 1
destruction 2
detective 1
determines 1
detests 1
develops 1
device 1
dg 1
died 1
direct 1
discovered 1
discovery 1
distant 1
distinct 1
do 1
does 2
domination 1
dr 1
dramatically 1
draw 2
drive 1
during 1
dwells 1
earlier 3
earth 17
earthlings 2
earthman 1
earthpeople 1
eight 1
elijah 1
embarked 1
emission 2
emitting 1
empire 1
empty 1
engaged 1
enough 1
ensuring 1
entire 1
estranged 1
evacuate 1
evil 1
except 1
expansion 1
expediting 1
extends 1
face 1
fact 1
failing 1
failures 1
far 1
fasterthanlight 1
fastolfe 6
fictional 1
final 1
finally 1
find 1
first 5
for 10
forbidden 1
force 3
forces 1
forcing 1
forget 1
former 2
forms 1
formulated 1
free 1
freezes 1
from 6
frustrated 1
future 1
galactic 2
galaxy 5
genocidal 1
ghoulish 1
giskard 20
gladia 7
go 1
governments 2
grave 1
guiding 1
had 1
hampered 1
han 1
hand 1
happen 1
happened 1
harm 1
harming 1
has 11
have 4
he 7
heavy 1
help 2
hence 3
her 2
hero 1
him 3
himself 1
his 10
homeworld 1
however 4
human 1
humane 1
humanity 5
humans 1
hypothetical 2
ice 1
in 18
inhabitants 3
inherit 1
inspired 1
instrumental 1
intelligent 1
intend 2
intensifier 6
intentions 1
interstellar 1
into 4
introducing 1
irreversible 1
is 11
island 1
it 3
just 1
justify 1
kelden 1
key 1
kill 1
knows 1
landings 1
large 1
largely 1
law 9
laws 1
leading 1
least 1
leaves 1
leaving 1
left 1
levular 1
lifespan 1
lifetime 1
little 1
live 1
locate 1
long 1
lover 1
make 2
making 3
malfunction 1
mandamus 11
manipulate 1
manipulation 1
mankind 1
many 2
mass 2
massively 1
meanwhile 2
meets 1
memory 2
mentally 1
mere 1
might 1
mile 1
milky 2
millions 1
mind 3
mission 1
more 1
most 2
motherworld 1
murder 2
must 1
mysterious 1
natural 1
nearly 1
necessary 1
never 1
new 2
newly 1
newlycreated 1
newlydeveloped 1
next 1
no 2
not 3
note 1
novel 1
now 1
nuclear 9
numbers 1
of 55
olivaw 1
on 7
one 1
ones 1
only 1
opposed 1
or 3
order 2
original 1
other 1
out 3
over 1
overcome 1
override 1
own 1
particle 1
particles 1
particular 1
partly 1
pebble 1
pennsylvania 1
people 2
pieces 1
placing 1
plan 3
planet 1
planets 2
plans 2
pleasure 1
policy 1
population 6
positronic 3
powers 2
predicts 1
prevents 1
previous 1
proceed 1
processes 1
property 1
prove 1
purposes 1
r 10
race 1
radioactive 5
radioactivity 1
ramifications 1
rate 1
rather 2
reach 1
recent 1
reclaiming 1
regard 1
regarding 1
reintroduced 1
remains 1
responsible 1
reventlov 1
revere 1
robot 2
roboticists 2
robotics 4
robots 9
sake 1
same 1
save 1
scale 1
schemes 1
secret 1
see 1
seen 1
series 1
servants 1
settings 1
settler 2
settlers 4
settlerspacer 1
settlertrader 1
seven 1
seventhgeneration 1
several 1
sharing 1
she 2
significant 1
site 1
skating 1
sky 1
slowly 1
so 2
solaria 3
soonfatal 1
space 3
spacer 6
spacers 6
spaceships 1
speed 1
spite 1
spread 1
stagnation 1
standing 1
still 1
stop 1
stress 1
struggle 1
such 2
suffering 1
suffers 1
supported 1
sure 1
surface 1
take 1
takes 1
tamper 1
tampers 1
telepathic 4
telepathically 1
telepathy 1
than 4
that 13
the 102
their 7
them 3
themselves 1
then 2
there 4
thereby 1
these 4
they 4
thin 1
thinks 1
this 8
though 1
threat 1
three 2
thrive 1
through 1
throughout 1
thus 1
thwarted 1
time 5
to 38
two 5
ultimate 1
under 2
unfortunately 1
unified 1
uninhabitable 1
unite 1
unravel 1
unscrupulous 1
until 1
up 1
upon 1
upper 1
use 2
using 4
valuable 1
vasilia 3
very 1
victory 1
vigor 1
vision 1
visiting 1
w 2
wanted 1
wants 2
wave 1
way 5
weak 1
weapon 1
well 1
were 1
what 1
when 1
where 2
whereas 1
whether 1
which 5
while 1
who 3
will 6
with 9
within 1
wits 1
work 2
worlds 3
would 2
writing 1
years 2
zeroth 4
