31058184
/m/0gg9g1k
/m/0gg9g1k
Umaira Ahmed

{"/m/05hgj": "Novel"}
150 1
a 7
able 1
above 1
after 2
ahmadiyya 1
an 2
and 12
ansar 1
antagonistic 1
are 1
as 2
asjad 1
asks 1
attends 1
away 1
be 2
because 1
before 1
being 1
belongs 1
blessed 1
boy 1
brother 1
but 3
by 2
can 1
cell 1
changes 2
coerce 1
companion 1
company 1
completes 1
contact 1
convert 1
cousin 1
decides 1
divorce 1
doctor 1
education 1
elder 1
else 1
errors 1
falls 1
family 5
finally 1
finds 1
first 1
for 5
force 1
friend 1
friends 1
from 2
girl 1
given 1
god 2
good 1
had 1
has 2
hashim 1
hates 1
haven 1
he 4
help 1
helps 1
her 21
him 1
his 3
house 1
imama 7
in 10
influenced 1
influential 1
iq 1
is 6
islam 1
islamabad 1
jalal 3
javeria 1
kaaba 1
lahore 3
later 2
lectures 1
level 1
lies 1
living 1
locking 1
loses 1
love 1
married 1
marries 1
marry 4
medical 1
name 1
nations 1
near 1
new 1
nonmuslim 1
not 3
of 1
parents 1
permanently 1
pharmaceutical 1
phone 1
promised 1
protagonist 1
protect 1
rabia 1
realizes 1
refused 1
religious 1
respond 1
result 1
rich 1
roommates 1
saddened 1
salar 10
sanctuary 1
scene 1
school 1
secrecy 1
seeks 1
sees 1
senior 1
settling 1
shabiha 1
she 8
shifts 1
sibteali 1
since 1
sitting 1
so 1
some 1
someone 1
soon 1
starts 1
story 1
studies 1
studying 1
sunni 1
taking 1
that 3
the 5
then 1
time 1
to 15
together 1
travels 1
tries 1
unacceptable 1
under 1
united 1
up 1
vows 1
ways 1
where 1
which 1
while 1
whom 1
will 1
wishes 1
with 3
women 1
working 1
works 1
worshipping 1
zainab 1
