14662428
/m/03gs8kn
/m/03gs8kn
Mark Joseph
1986

168 1
45 1
6th 1
a 27
able 1
about 2
accident 1
across 1
act 1
active 1
actual 1
actually 2
addiction 1
advanced 1
after 1
against 1
aircraft 1
alfa 1
all 4
also 1
amazed 1
amazement 1
american 8
an 5
analyst 1
and 37
antisubmarine 1
appearance 1
are 5
area 1
arrest 2
arrival 1
arrives 1
as 8
assigned 2
astor 1
at 2
atlantic 4
atmosphere 1
authorities 1
automatically 1
away 1
back 2
barracuda 10
barracudas 2
base 1
be 4
because 2
before 2
begins 1
being 4
believe 2
best 1
between 1
blows 1
bow 2
break 1
breaking 2
bridge 1
briefly 1
brinkmanship 1
british 1
buildup 1
bunk 1
but 4
by 8
calls 1
came 1
can 3
capsized 1
captain 4
carbon 1
carrier 1
catandmouse 1
causing 1
chief 1
class 5
coast 2
cold 1
collision 5
comes 2
command 2
committed 1
compartment 1
confrontation 1
consequences 1
contact 2
correctly 1
cossacks 1
cowboys 1
crew 6
crewmen 1
crisis 1
crushed 2
cuba 4
cuban 1
damaged 4
dangerous 2
deems 1
deep 2
departs 1
designated 1
designed 1
destroys 1
determination 1
determined 2
determines 1
did 1
dioxide 1
disastrous 1
do 1
down 1
drill 1
drinker 1
driving 1
drug 1
drugs 1
drydock 1
duplicate 1
during 1
earlier 1
east 1
eccentric 1
eighttenths 1
electric 1
engage 1
engages 1
environmental 1
equipment 1
equipped 1
escape 1
evacuated 1
everyone 1
exact 1
exercise 1
exercises 1
existence 1
experimental 1
expertise 1
explosion 2
fact 1
fastest 1
few 1
find 1
fired 2
fires 1
firing 2
first 3
flagship 1
fleet 1
floor 1
fogarty 2
fogerty 1
fool 1
for 6
forces 1
found 1
fragments 1
from 5
full 1
game 2
gear 2
goes 1
has 2
have 2
he 8
hears 1
heavy 1
higher 1
hightensile 1
him 2
his 6
homes 1
horrified 1
hunt 1
identify 1
identity 1
in 19
incompetence 1
inexperienced 1
injured 1
instead 1
insults 1
interrupted 1
into 1
is 25
it 8
its 4
itself 1
jack 1
jokes 1
just 2
kill 1
killing 1
kind 1
leading 1
leads 1
learn 1
likely 1
listening 1
located 1
loose 1
lose 1
made 2
maintained 1
make 2
makes 3
malfunctions 1
managed 1
mask 1
may 1
med 1
medical 1
mediterranean 2
meeting 1
members 2
misses 1
missile 1
mission 2
mistaken 1
mk 1
mode 1
most 1
motors 1
must 2
mystery 1
navies 1
navy 5
negligence 1
nets 1
never 1
nevertheless 1
new 3
newly 1
no 1
noise 1
not 3
novel 1
now 1
nuclear 2
nuclearpowered 1
ocean 3
oceans 1
of 37
off 1
officer 2
officers 3
on 7
once 2
one 5
open 1
operating 1
operators 1
orders 2
other 4
others 1
out 1
outpaces 1
pacific 1
partier 1
period 1
places 2
play 1
playing 2
plunges 1
poisons 1
political 2
port 2
portion 1
potemkin 10
presence 1
pressure 2
promising 1
provided 1
pumps 1
reaches 2
reactor 2
realize 3
really 1
reason 1
recorded 1
recording 1
records 1
remain 1
remarks 1
rendezvous 1
repaired 1
repairs 1
repeated 1
reporting 1
reports 1
reproduce 1
retaliation 1
retire 1
revealed 1
revolutionary 1
rondezvous 1
russian 1
russians 1
scene 1
scram 1
sea 3
sealed 1
second 1
secret 2
seeking 1
separate 1
seriously 1
service 1
several 1
shifts 1
ship 6
shoot 1
signature 1
sink 2
sinking 3
sinks 3
skipjackclass 2
slowly 1
so 3
something 2
somewhere 1
sonar 7
soon 1
sophisticated 1
sorensen 3
sorenson 7
sound 2
soviet 14
soviets 1
special 1
speed 1
standard 1
stationed 2
steel 1
stereo 1
stereosonar 1
still 1
story 2
stunned 1
sub 5
submarine 16
submarines 8
sunk 2
superior 1
supposed 2
survives 1
suspect 1
suspects 1
swordfish 1
system 3
takes 1
tape 1
tapes 1
tells 2
terrified 1
that 11
the 118
their 1
then 1
theory 1
there 2
these 1
they 2
think 1
thinks 1
this 2
three 1
through 1
time 1
titanium 2
to 33
tolerated 1
too 1
topsecret 2
torpedo 7
tracking 1
two 2
unable 1
unbeknownst 1
under 3
undercover 1
unfortunately 1
unsoviet 1
up 2
us 2
using 3
uss 2
valuable 1
vessel 10
vessels 6
veteran 1
war 2
warfare 2
was 8
water 1
waters 2
way 2
were 1
western 2
what 3
when 2
which 4
while 1
who 1
whole 1
whose 1
with 10
within 1
working 1
world 2
wrong 1
zampolit 1
