4266895
/m/0bt5tw
/m/0bt5tw
Sean French
2005-03
11000 1
a 7
actions 1
after 1
alcohol 1
all 1
almost 1
an 1
and 5
apart 1
arguments 1
artist 1
as 1
attempts 1
be 1
before 1
begins 1
best 1
business 1
but 1
by 1
causing 1
charlie 1
dangerous 1
deteriorating 1
determined 1
devious 1
does 1
empathetic 1
even 1
finally 1
finds 1
first 1
foolhardiness 1
foolish 1
friend 1
from 1
fuelled 1
game 1
going 1
goodnatured 1
her 8
himself 1
holly 2
husband 1
if 1
imposing 1
in 1
inadvertently 1
incapable 1
incident 1
including 1
insane 1
intent 1
intimidation 1
is 2
krauss 1
life 3
losing 1
made 1
married 1
may 1
meg 1
men 1
more 1
mysterious 1
needs 1
night 1
not 1
of 5
on 2
one 2
only 1
own 2
perfect 1
physical 1
poker 1
potentially 1
problems 1
procrastinator 1
providing 1
psychopath 1
realise 1
really 1
result 2
runs 1
she 4
simply 1
stalking 1
stand 1
stranger 1
subconsciously 1
successful 1
such 1
suicide 1
support 1
tearing 1
that 1
the 2
then 1
therefore 1
thoroughly 1
through 1
trouble 1
when 1
while 1
who 1
with 3
woman 1
wonders 1
work 1
