25769189
/m/03wfq3n
/m/03wfq3n
Libba Bray
2009
{"/m/0vgkd": "Black comedy", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 28
able 1
about 2
actually 1
advancing 1
adventure 1
after 5
afternoon 1
aimless 1
all 3
also 1
an 2
and 19
another 1
any 2
apparent 1
appears 1
are 6
as 6
at 6
attack 1
attacked 2
author 1
away 1
back 3
background 1
balder 5
balders 1
be 8
beach 2
because 1
been 2
before 1
behind 1
being 1
between 1
blew 1
blowing 1
boots 1
boys 2
brain 2
bse 1
buddha 1
burger 1
bus 3
but 2
by 11
cam 15
cameron 8
camerons 2
cams 4
can 2
car 1
catches 1
catching 1
changes 1
character 3
characters 1
chases 1
city 1
class 1
classmate 1
clock 1
college 2
community 1
company 1
companys 1
continue 2
contracted 1
control 1
could 2
counselors 1
cow 2
creutzfeldtjakob 1
crying 1
cure 1
defeats 1
described 3
diagnosed 1
diner 2
disease 3
disney 3
door 1
doors 1
dr 3
dressing 1
drive 1
dropped 1
drug 1
dulcie 7
dulcies 2
during 1
dwarf 1
eating 1
elements 1
emphasized 1
employees 2
english 2
eventually 1
exactly 2
exclusion 1
explained 8
explanation 1
fast 1
fate 1
father 1
figure 1
finding 1
fire 3
first 3
flames 1
florida 2
follow 1
follows 2
food 1
for 3
form 1
found 1
from 9
further 1
game 2
garden 2
get 3
gets 2
giants 3
gift 2
give 1
given 2
gleaned 1
globe 4
globes 1
gnome 2
god 2
goes 2
gonzo 5
gras 1
guided 1
gun 1
hair 1
hallucenogenic 1
hallucination 3
hallucinationinduced 1
hallucinations 1
hallway 1
happening 1
has 1
have 3
having 1
he 9
heading 1
headquarters 1
her 1
high 3
him 7
his 21
hitchhikers 1
hospital 2
hospitalized 1
host 1
house 2
how 1
humoring 1
illness 1
in 16
induced 1
intent 1
into 4
introduced 1
introduces 1
invincible 1
is 26
it 2
jazz 1
jenna 1
job 1
joins 1
joint 1
journey 2
keep 1
killing 2
knowledge 1
known 1
lab 1
lead 1
leaves 1
life 8
like 2
listed 1
living 1
loki 1
long 1
looking 2
machines 1
mad 2
mardi 1
marijuanainduced 1
masked 1
meets 1
men 1
mentioned 1
mind 1
minimumwage 1
mission 1
mix 1
more 1
most 1
mother 2
multiple 1
musician 1
mysterious 1
name 1
named 1
nationally 1
natives 1
new 5
newly 1
next 1
norse 3
not 2
novel 3
nowhere 1
nurse 1
obscure 1
of 23
off 2
on 11
once 4
one 3
only 1
operatives 1
or 1
order 1
orleans 5
out 3
overprotective 1
own 1
paints 1
parents 1
party 4
perfect 1
physicist 1
physics 1
pick 1
pink 1
playing 1
plot 2
point 1
popular 1
possibly 1
probably 1
professor 1
protagonist 1
protagonists 1
public 2
purchase 1
pursued 1
quest 1
random 1
reader 1
real 2
reckoning 2
reckoninga 1
refuses 1
reminding 1
rest 1
reunited 1
revealed 4
revealing 1
ride 1
risking 1
road 1
room 1
roommate 1
roots 1
runs 1
same 1
save 2
scene 1
scenes 2
school 3
secret 1
section 1
sell 1
senior 1
sent 2
separated 1
she 2
ship 1
shop 2
shore 1
show 1
shows 3
signs 1
silver 1
sister 2
skid 1
slacker 1
slow 1
small 1
smith 1
sneak 1
sneaks 1
snow 4
social 1
somewhat 1
space 1
spiral 1
spray 1
started 1
starts 2
stations 1
stay 1
steal 1
stole 1
stop 1
story 1
stranded 1
strangers 1
succeed 1
suggestion 1
suit 1
support 1
take 2
takes 1
teacher 1
tells 2
terrorists 1
texas 2
that 11
the 60
their 3
them 3
then 2
there 1
they 10
thinking 1
thinks 1
this 3
thought 1
three 4
through 3
throughout 1
ticking 1
time 1
to 37
tomorrowland 1
towards 1
towns 1
transportation 1
trapped 1
trapping 1
traveling 1
trickster 1
trip 1
truck 1
trumpet 1
turning 1
tv 1
two 2
ugw 1
uncontrollable 1
unconvinced 1
united 1
unknown 1
until 1
up 5
urging 1
used 1
using 1
valhalla 1
variant 1
various 2
very 1
video 1
vision 1
waiting 1
wakes 1
walk 1
wanted 1
was 4
way 3
wearing 1
wears 1
were 1
what 1
when 6
where 5
which 1
while 5
who 8
whole 1
wholesales 1
win 1
wings 1
with 5
wizard 7
working 1
world 4
wristband 1
x 2
xs 1
ya 1
younger 1
