5755166
/m/0f2y0v
/m/0f2y0v
Barbara Mertz
2005
122 1
a 6
affair 1
all 1
an 1
ancient 1
and 3
are 1
assistant 1
at 1
bad 1
be 1
believe 3
brings 1
but 1
came 1
challengeand 1
course 1
curses 1
dead 1
deir 1
delivers 1
disappear 1
does 1
doesnt 1
el 1
emerson 1
emersons 2
everyone 1
excavating 1
except 1
family 1
find 2
finds 1
from 1
gold 1
has 1
he 3
her 1
historic 2
importance 1
in 2
is 2
it 2
its 1
luck 1
meanwhile 1
medina 1
melodramatic 1
murder 1
not 1
of 3
out 1
owners 1
papyrus 1
proportions 1
ramses 1
robbed 1
seems 1
solid 1
someone 1
statuetteto 1
stepchildren 1
suspects 1
the 3
their 1
them 1
to 2
turns 1
up 1
visitor 2
when 2
where 1
which 1
who 1
why 1
