32047634
/m/0gw_8vz
/m/0gw_8vz
David Klass
2001-03-28
a 19
about 1
abuse 1
abuses 1
accepts 1
against 1
also 5
an 1
and 26
andy 1
angry 1
are 2
around 1
arrested 1
as 1
ask 1
asked 1
assaulting 1
assaults 1
at 2
attends 1
basketball 1
beats 1
because 2
beezer 1
before 1
begins 1
being 1
better 1
billy 6
blood 1
book 1
boy 1
boyfriend 2
brings 1
business 1
but 5
by 4
calls 3
came 1
carry 1
chance 1
check 1
chinese 1
class 1
clothes 1
concert 1
cries 1
crush 2
cry 1
dance 1
deals 1
didnt 1
do 1
does 1
doesnt 1
drawer 1
drunk 1
eats 2
egg 1
end 1
escape 1
escapes 1
explains 1
father 4
feels 2
fight 2
figures 1
finally 1
finds 1
flesh 1
for 3
forced 1
forgives 1
fourteen 1
friend 2
friends 1
from 3
game 1
gets 1
getting 1
girl 3
gloria 6
glory 1
goes 4
gym 1
had 1
hallelujah 1
has 3
he 17
her 10
him 10
his 7
home 2
hospital 1
humiliates 1
impossible 1
in 6
into 1
is 15
it 2
its 1
john 22
knows 1
learned 2
leaves 1
likes 1
lives 1
lot 1
loud 1
love 1
loved 1
loves 1
making 1
man 9
many 1
married 1
money 1
mother 6
music 3
my 3
named 3
new 2
nobody 1
not 3
note 1
now 1
occurs 1
of 2
old 1
on 4
or 1
out 4
phrases 1
picks 1
piece 1
really 1
rebels 1
riot 1
roll 1
rude 1
saved 1
saying 1
school 2
seduces 1
see 1
seen 1
sees 1
sending 1
senseless 1
she 3
signs 1
skinny 1
slow 1
so 1
some 1
soon 1
stands 1
stealing 1
stolen 1
store 1
story 1
takes 1
teacher 3
teens 1
tells 1
terrible 1
that 6
the 18
then 1
there 1
thinks 1
this 2
thought 1
time 1
to 7
told 1
took 1
transporting 1
trouble 1
truck 1
tvs 2
understand 1
until 1
up 3
use 1
violent 1
violet 2
wakes 1
was 1
when 2
where 1
which 4
who 6
wishes 1
with 4
year 1
young 1
