24205165
/m/07k99sz
/m/07k99sz
Lauren Groff
2008
{"/m/014dfn": "Speculative fiction", "/m/07s9rl0": "Drama", "/m/02xlf": "Fiction"}
a 2
about 5
acquaintance 1
alive 1
all 1
ancient 1
and 7
archaeology 1
archives 1
back 2
books 1
but 2
california 1
closer 1
concerned 1
could 1
course 1
dark 2
data 1
dead 1
deep 1
dig 1
discover 1
discovers 1
end 1
ever 1
excavates 1
family 1
father 3
for 2
friend 1
from 3
gives 1
glimmey 1
going 1
gradually 1
graduate 1
have 1
her 12
him 1
his 1
home 1
identity 3
in 7
is 4
it 1
kindly 1
knew 1
lake 1
left 1
letters 1
life 1
living 1
local 2
monster 1
mother 3
moves 1
never 1
now 1
of 5
old 1
on 1
pieces 1
possible 1
preacher 1
pregnancy 1
present 1
real 2
relationship 1
returns 1
revelation 1
secrets 2
seemingly 1
several 1
shambles 1
she 8
shocking 1
sick 1
small 1
studies 1
summer 2
templeton 2
that 2
the 11
then 1
this 1
thought 1
thus 1
to 4
together 1
town 1
tree 1
true 1
up 2
upton 1
was 1
while 1
willie 3
with 3
zeke 1
