5603173
/m/0dvrr3
/m/0dvrr3
David Drake
1989-11
16 1
a 10
aboard 1
addictive 1
after 3
agent 3
agents 2
alien 2
already 1
an 5
analyze 1
and 13
are 1
arrival 1
artifact 2
as 1
asteroid 2
be 1
before 1
being 2
blob 1
board 1
brain 1
but 1
by 1
can 2
captain 1
care 1
center 1
centers 1
clean 1
closes 1
command 1
conglomerate 1
control 2
convinced 1
daltgeld 1
data 1
device 2
devices 1
disappearing 1
discovered 1
divorced 1
dock 1
docked 1
down 2
drunk 1
duncan 1
ejected 1
end 2
enemy 4
environment 1
fate 2
feelgood 1
flagship 1
for 5
force 3
forcibly 1
found 1
freighter 1
from 6
galaxy 1
gets 2
given 1
good 1
he 1
head 2
heads 1
helmet 1
hiding 1
him 3
his 3
however 1
implanted 1
in 3
infects 1
is 3
it 5
its 2
jameson 2
kills 1
kona 2
kt 2
late 1
learn 1
leave 1
leaves 1
leaving 1
lethal 1
local 1
locate 1
losing 1
made 1
main 1
mccain 2
mercurylike 2
mining 1
mission 1
nanahbuc 3
of 7
on 3
other 1
out 3
over 2
planet 1
plans 1
pleasure 1
police 1
political 1
prevent 1
put 1
react 1
reasons 1
recently 1
repairs 1
saved 1
secret 1
seems 1
send 1
she 1
shes 1
ship 2
small 1
spencer 6
splashes 1
spread 1
stimulates 1
substance 1
suss 1
system 3
take 1
takes 1
taking 1
task 2
tatsu 2
that 3
the 26
then 1
they 2
this 1
throughout 1
tight 1
to 13
told 1
tons 1
too 1
tries 1
turns 2
unknown 1
upon 1
uses 1
visit 1
was 2
way 1
weighs 1
while 1
wife 1
with 4
working 1
