5840098
/m/0f8d5p
/m/0f8d5p
Natsuo Kirino
2004-09-30
a 8
accepted 1
after 2
alienated 1
all 3
alone 1
and 11
antics 1
as 2
ask 1
at 1
away 1
bad 1
bag 1
because 1
been 1
before 1
begin 2
begun 1
bento 1
binliners 1
black 1
blackmail 1
body 2
boyfriend 1
boys 1
by 1
carelessly 1
caretaker 1
certainly 1
children 1
completely 1
control 1
couple 1
criminal 1
death 1
debt 1
desperately 1
discovered 1
discovers 1
dismembered 1
dispose 1
ditched 1
down 1
driven 1
drunken 1
each 1
easy 1
enough 1
estranged 1
eventually 1
everything 1
factory 1
feels 1
fend 1
four 3
from 1
gambled 1
gambling 1
gets 1
girl 1
go 1
graveyard 1
hard 1
has 4
hates 2
have 1
help 1
her 8
herself 1
hidden 2
him 1
home 3
hunt 1
hurting 1
husband 3
if 1
in 1
into 1
involved 1
is 8
isnt 1
it 2
japanese 1
kuniko 3
leader 1
leave 1
leaving 1
left 1
likely 1
live 1
lives 1
loan 1
loanshark 1
long 1
loses 1
lost 1
many 1
masako 2
more 2
mother 2
motherinlaw 1
night 1
not 2
novel 1
of 8
off 1
old 1
one 2
or 1
other 1
out 1
over 1
paralyzed 1
partly 1
pay 1
persuades 1
plump 1
police 1
pretty 1
price 1
questions 1
rather 1
recently 1
reluctant 1
requiring 1
returning 2
savings 1
secured 1
services 1
shark 1
she 4
shift 1
single 1
small 1
son 1
soon 1
strangles 1
stroke 1
tales 1
teenage 1
tells 1
temper 1
than 1
that 1
the 15
their 3
them 1
things 1
thirtyfouryear 1
thought 1
to 10
tokyo 1
two 1
vain 1
was 1
way 1
were 1
werent 1
who 3
women 6
work 1
working 1
yayoi 2
yoshie 2
