7856096
/m/026gfq0
/m/026gfq0
Scott Westerfeld
2005-02-08
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 3
affinity 1
after 2
all 1
an 3
and 3
are 1
arriving 1
assignment 1
be 1
been 1
before 1
but 4
by 1
cal 5
cannibalistic 1
capture 1
carrierhe 1
centuries 2
changing 1
college 1
contain 1
days 1
disease 2
earth 1
effects 1
encounter 1
existed 1
first 1
for 2
forces 1
from 2
gets 1
girl 1
girls 1
going 1
government 1
has 3
he 5
heightened 1
him 1
himself 1
his 2
immune 1
in 2
infected 2
into 1
is 5
it 2
its 2
knows 1
loses 1
monsters 1
more 1
mysterious 1
nasty 1
new 1
night 2
of 1
on 1
one 1
organization 1
others 1
out 1
parasite 1
peeps 1
picks 2
positivesraving 1
rats 1
realizes 1
recruited 1
response 1
secret 1
senses 2
side 1
slumber 1
soon 1
std 1
strength 2
than 1
that 3
the 7
there 1
this 2
to 5
told 1
turns 2
two 1
under 1
unusual 2
up 3
victims 2
virginity 1
vision 1
waking 1
watch 1
who 1
with 2
without 1
york 1
