33304926
/m/0h7l_t8
/m/0h7l_t8
Kristin Cast
2011-10-25
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature", "/m/072lff": "Paranormal romance"}
11 1
a 17
about 4
accept 1
accepted 1
accepts 1
actually 1
affinity 1
against 1
all 1
allows 1
although 1
altogether 1
an 1
anastasia 1
and 31
another 1
answer 1
anyway 1
aphrodite 1
appears 3
are 1
arrives 1
as 8
asking 1
asks 2
at 10
attack 1
aurox 8
awakened 1
away 1
back 1
because 1
become 1
been 1
before 2
between 1
bitterness 1
blames 1
blind 1
blindsides 1
book 1
break 1
brothers 1
building 1
bull 4
bus 1
but 6
by 8
call 1
called 1
calling 1
calls 1
can 6
chaos 1
charges 1
circumstances 1
class 1
closes 1
color 1
colors 1
comes 1
commands 1
commotion 1
compulsion 1
concerns 1
confirms 1
conflict 1
confused 1
consciousness 1
consequent 1
contact 1
continue 1
continues 1
council 3
create 1
darkness 4
day 2
dead 1
death 7
decides 2
depot 2
diffuses 1
discover 1
discuss 1
discussion 1
displeasure 1
doesnt 3
down 1
dragon 5
duantia 2
during 2
ee 1
empathizes 1
erik 4
erin 1
even 1
events 2
eventually 1
everybody 2
expresses 1
eyes 1
eyesight 1
faint 1
falls 1
father 2
feels 2
fifth 1
fight 1
finally 1
finds 6
first 2
fish 1
fledglings 1
for 7
form 2
friends 3
from 5
full 1
gains 1
garden 1
gateway 1
general 1
get 1
gift 2
girl 2
give 1
gives 2
goddess 2
grandmother 2
granted 1
guides 1
had 1
halfshift 1
hand 1
happily 1
has 1
having 2
he 12
hears 1
heath 1
her 21
high 3
him 13
himself 3
his 7
house 5
human 2
in 9
initiating 1
injured 1
interrupted 1
intervene 2
into 1
iphone 1
is 12
it 1
just 1
kalona 6
kill 2
kills 2
kleenex 1
kramisha 1
later 1
leader 1
leads 1
leave 1
leaves 1
lenobia 1
less 1
like 1
linda 3
lines 1
makes 1
mark 1
marks 1
meanwhile 1
meeting 3
misery 1
mistakes 1
mocker 1
more 1
mother 2
mourn 1
mourning 2
much 2
murder 1
neferet 12
new 1
next 2
night 5
no 1
not 2
notices 1
nyx 2
obey 1
of 26
off 1
offers 3
on 5
one 3
opened 1
others 1
otherworld 1
out 3
over 1
own 1
perform 1
period 2
person 2
phone 1
place 2
plans 1
pledges 1
points 1
position 1
presents 1
pretends 1
priestess 3
probably 1
proceeds 2
prologue 1
prophecies 1
puts 1
rae 5
rare 1
raven 1
real 1
receives 1
recovers 1
red 2
regains 1
regarding 1
regret 1
reluctantly 1
remain 1
reminds 1
rephaim 12
report 1
request 2
respectively 1
return 1
returns 1
reunited 1
reveal 3
reveals 2
ritual 6
rule 1
runs 1
sacrifices 1
save 1
scene 2
school 4
second 2
see 5
seen 1
send 1
sends 1
sent 2
seriously 1
sevenday 1
shaunee 5
shaylin 3
she 12
sight 1
sit 1
situation 1
skips 1
skype 1
so 4
son 1
spirit 1
spots 1
spy 1
stand 1
stark 2
stevie 5
stopped 2
strongly 1
stumble 1
stunned 1
support 1
supposed 1
surprise 1
sympathetic 1
take 1
takes 1
telling 1
tells 1
than 1
thanatos 7
that 5
the 60
their 1
them 5
then 1
they 2
this 2
threads 1
three 1
to 33
told 1
too 1
tracker 1
traditional 1
truce 1
true 1
tulsa 2
tunnels 1
turn 1
twins 1
two 1
uncomfortable 1
under 2
understand 1
unexpected 1
unsure 1
until 1
up 1
use 2
used 1
vampyre 1
vampyres 1
version 1
very 1
view 1
vision 1
visit 1
visited 1
waiting 1
wall 1
warn 1
warrior 1
well 1
what 1
when 2
where 1
which 3
while 1
white 2
who 5
why 1
will 1
with 7
witness 1
wondering 1
world 1
zoey 13
