6234080
/m/0fy439
/m/0fy439
Mildred Taylor
1987-09-30
a 2
about 1
allow 1
allowed 1
always 1
an 1
and 3
away 1
bee 5
black 2
boy 2
by 2
call 3
calling 1
can 1
children 1
crawls 1
cursing 1
do 1
does 1
elderly 1
even 2
first 1
four 1
friendship 1
give 1
grateful 1
he 3
him 4
his 2
however 1
is 2
john 5
later 2
life 1
man 1
mr 6
name 1
not 1
nothing 1
of 1
put 1
refusing 1
saved 1
shot 1
son 1
storekeeper 1
test 1
the 3
their 1
to 4
tom 4
twice 1
ultimately 1
up 1
wallace 4
was 2
when 1
which 2
while 1
white 1
witness 1
years 1
