17416040
/m/047d0sv
/m/047d0sv
Eva Ibbotson
1993
a 9
able 1
ahead 1
allowed 1
alongside 1
ambitiously 1
an 2
and 14
annulment 1
arrested 1
arrives 1
as 1
at 1
attempts 1
attend 1
attraction 1
austria 2
award 1
back 1
bay 1
be 2
because 1
become 1
been 1
being 2
berger 3
bergers 2
betrayed 1
boarder 1
breaks 1
british 1
budapest 1
but 1
by 4
ceremony 1
citizenship 1
clever 1
cling 1
coincidence 1
contact 1
convenience 3
country 1
democrat 1
deny 1
desolation 1
desperate 1
desperately 1
discovered 1
discovers 1
dismissed 1
each 1
ends 1
england 3
english 1
enrol 1
escape 2
escapes 1
events 1
expected 1
fail 1
family 4
father 1
fiance 1
find 1
for 4
forced 1
from 1
gestapo 1
get 2
gift 1
growing 1
has 3
he 2
heini 1
her 9
his 1
home 1
humour 1
husband 1
in 5
insignificant 1
intelligentsia 1
intentions 1
into 1
is 9
jewish 1
keep 1
leanings 1
learns 1
leave 2
lectured 1
life 1
london 2
longer 1
marriage 5
moral 1
morning 1
much 1
nazis 1
not 2
of 11
on 4
once 1
only 1
organize 1
other 1
out 2
over 1
own 1
part 1
past 1
personal 1
pianist 1
plackett 1
political 1
professor 3
put 1
quakers 1
quickly 1
quin 2
quinton 4
real 1
realizes 1
realizing 1
receives 1
reestablish 1
refugees 1
ruth 11
safe 1
scientist 1
secret 2
sent 2
separate 1
set 2
several 1
she 2
sights 1
snobbish 1
social 1
somerville 1
ss 1
stay 1
stopped 1
story 1
student 1
suddenly 1
take 1
takes 1
talented 1
tells 1
terror 1
than 1
that 4
the 22
their 4
then 1
through 1
to 21
told 1
transfer 1
transport 1
try 1
trying 2
unaware 1
unfolding 1
university 2
until 1
up 1
using 1
valid 1
values 1
verena 1
verge 1
vienna 3
visa 2
visits 1
way 2
week 1
when 3
while 1
who 3
whose 1
will 1
with 1
within 1
worked 1
world 1
wwii 1
