4954667
/m/0cwxz_
/m/0cwxz_
Darren Shan
2003
{"/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/0dwly": "Children's literature"}
a 12
actually 1
after 3
again 2
all 1
an 1
and 17
animals 1
announces 1
another 1
any 2
are 4
as 4
at 1
attack 1
away 2
back 1
bare 1
battle 1
be 4
being 2
belt 1
book 2
brother 2
but 1
by 3
can 2
care 1
chances 1
cirque 3
claims 1
clothes 1
come 1
constant 1
creator 1
creatures 1
crepsley 1
cross 1
dark 1
darren 6
days 1
defeated 1
desmond 1
destroy 2
discuss 1
disguise 1
dislike 1
does 2
doesnt 1
down 1
du 1
due 1
encounter 1
end 1
enemy 1
evanna 5
explains 1
fa 1
fears 1
feeling 1
few 2
find 2
following 1
follows 1
for 3
forest 1
four 2
freak 1
from 1
get 3
gets 1
go 2
group 2
gut 1
hands 1
have 2
having 1
he 7
help 1
her 2
him 3
his 5
hopes 1
house 2
however 1
hunt 1
hunter 2
hunters 2
if 1
in 1
instead 1
instructed 1
into 1
is 3
it 1
knowledge 1
ladies 1
lady 4
last 1
launching 1
leave 1
leaving 2
lets 2
like 2
little 2
long 1
lord 4
made 1
main 1
man 1
manners 1
many 1
march 1
meet 1
meeting 1
more 2
mr 2
mrtiny 2
must 2
nearby 1
necessary 1
next 1
night 2
nights 1
not 2
notices 1
of 13
off 1
on 3
once 3
one 4
only 2
other 2
others 1
out 1
paths 1
people 1
perceives 1
prefers 1
prepare 1
preview 1
prince 3
quest 1
realizing 1
red 1
said 1
scars 1
seemed 1
series 1
servant 2
set 2
seventh 1
shade 1
she 1
should 1
shurikens 1
sites 1
skin 1
so 1
someone 1
stay 1
staying 1
strapped 1
strategy 1
strike 1
successful 1
sun 2
that 6
the 33
their 4
them 4
there 1
they 12
thinks 1
third 1
this 1
those 1
though 2
three 2
throughout 1
times 1
tiny 2
to 17
told 1
towards 1
try 1
turned 1
two 2
up 1
use 2
using 1
vampaneze 6
vampire 2
vampires 1
vancha 4
visited 1
war 2
was 1
way 2
weapons 1
wear 1
were 1
what 2
when 1
where 1
while 1
whom 1
will 1
win 1
with 6
witnesses 1
women 1
worst 1
years 1
