29995317
/m/0fqrf78
/m/0fqrf78
Jeff Long

{"/m/06n90": "Science Fiction"}
a 36
abandoned 1
abandons 1
abducted 1
across 2
adults 1
adversary 1
after 4
against 3
aided 2
alexandra 1
ali 11
all 1
allowing 1
ambiguous 1
ambushed 1
amphetaminelike 1
an 7
and 56
angel 11
angrily 1
any 1
apparently 1
apparentlynotextinct 1
appears 2
approached 1
are 5
army 7
arrives 1
as 11
assumed 1
at 2
attack 2
attempting 1
awol 1
back 2
bad 1
barb 1
battle 2
be 11
beckwith 4
becomes 1
been 7
before 2
begin 1
begins 2
behind 1
being 3
believes 1
believing 2
bests 1
between 2
biowarfare 1
bioweapon 1
bloody 1
booming 1
both 2
bridge 2
bring 2
brought 2
brutally 2
building 1
but 1
by 26
can 1
cannot 1
captive 3
captives 1
captivity 1
celebrate 1
certain 1
child 1
children 10
childrensnatching 1
china 2
chinese 2
city 3
clemens 15
climbing 1
colleague 1
colleagues 1
colonization 1
combat 1
complex 2
conflicts 1
considerably 1
conversing 1
cooked 1
coopted 1
cope 1
creates 1
crew 2
crockett 2
crust 1
darts 1
daughter 3
dead 1
dealing 1
death 1
decade 1
decides 1
declines 1
decorated 1
deformities 1
delusional 1
deployed 1
descend 2
deserted 1
desertions 1
design 1
dies 1
directed 1
disciple 3
discover 2
discovered 3
discovers 2
disobedient 1
documentary 1
does 1
down 1
drink 1
driven 1
due 3
during 1
earlier 2
earth 1
eaten 1
ebola 1
effectively 1
emblems 1
encounters 1
ends 1
enlist 1
ensues 1
enter 1
entering 1
enters 3
erupted 1
escaped 1
eventually 2
evolution 1
expedition 3
experience 1
explains 1
exploration 1
fatigue 1
feelings 1
few 1
film 2
final 1
find 1
first 1
for 3
force 1
forcibly 1
formidable 1
forth 1
fortify 1
free 2
freed 1
from 3
function 1
girls 4
given 2
gives 1
goal 1
good 1
government 3
gregorio 3
group 1
guide 1
guy 2
had 2
hadal 7
hadals 15
halloween 1
hand 1
handtohand 1
has 7
have 1
having 3
he 12
head 1
helios 3
help 1
helps 1
her 9
herself 2
him 5
himself 4
his 6
however 1
human 2
humans 2
hunter 5
husband 2
if 1
ike 16
illfated 1
illness 1
in 13
inadvertently 1
incident 1
includes 1
increase 1
infects 1
inflicted 1
institution 1
instructions 1
interior 1
international 1
intervene 1
into 1
is 18
it 4
its 1
itself 1
kidnapped 6
kill 2
killed 5
kills 1
knowing 1
lair 1
large 1
later 1
leader 1
leading 1
league 1
leaving 2
led 1
less 1
long 1
longthoughtextinct 1
looting 1
loss 1
main 1
make 1
male 1
many 1
massacre 1
massacred 1
massive 1
meanwhile 1
men 1
mentally 1
mercenaries 4
mercenary 2
metropolis 4
military 2
minotaurs 1
mistake 1
mistakenly 1
mistook 1
mobilizing 1
more 1
murdered 1
mutilated 1
named 3
narrative 1
navy 1
night 1
ninety 1
not 3
novel 1
now 1
nuclear 1
number 1
of 22
off 1
old 1
ominous 1
on 6
once 1
one 2
only 1
or 1
out 1
over 1
overtly 1
own 1
oxen 1
pacific 1
pages 1
panic 1
paralyzed 1
parents 1
people 2
perform 1
pitting 1
plan 1
planetary 1
plans 1
poisoned 1
poisontipped 1
potentials 1
prepares 1
present 1
previous 1
prisoner 1
producer 1
prologue 1
promises 1
proves 1
pyramid 1
pyramids 1
quest 1
rabies 1
ratcheting 1
realizing 1
rebecca 15
refuses 1
region 1
release 1
remain 1
remained 1
remaining 2
remains 2
removes 1
replaces 1
rescue 2
rescuer 1
research 1
resumes 1
return 2
returning 1
returns 1
revealed 2
reveals 1
river 1
room 1
rushes 1
safe 1
samantha 5
same 2
sanitized 1
scars 1
schade 2
scores 1
seal 1
search 2
searching 2
second 1
separately 1
settlers 1
she 3
shield 1
shock 1
shooting 1
shrunk 1
side 1
siege 2
similar 1
sniper 3
sole 1
some 1
soon 1
starving 1
states 4
statues 1
statuesque 1
subplanet 4
subplanetary 2
subterranean 2
suddenly 2
suffering 1
superhuman 1
support 1
supporter 1
surface 4
surrender 1
surreptitiously 1
surviving 1
survivor 1
survivors 1
sweep 1
sympathetic 1
take 1
takes 1
tall 1
team 1
tells 2
tensions 2
than 2
that 7
the 93
their 2
them 3
themselves 2
there 1
these 1
they 3
this 2
though 1
thought 1
three 4
through 1
thrown 1
time 1
to 38
told 1
torture 1
tortures 1
toward 3
trainee 1
traumatized 1
traveling 1
treasure 1
troves 1
unable 1
unborn 1
underground 2
understand 1
undetected 1
united 4
unknown 1
unscrupulous 1
unseen 1
unstable 1
unsuitable 1
up 1
us 2
use 2
uses 1
using 1
veteran 1
video 1
viral 1
virus 1
volunteer 3
volunteers 2
von 2
walledin 1
war 1
warns 1
was 4
watches 1
way 1
week 1
were 1
when 1
whether 1
which 1
while 2
whispers 1
who 16
whose 2
wife 1
will 2
willing 1
wiped 1
wishes 2
with 15
woman 1
world 2
wracked 1
years 2
young 1
ziptied 1
