6499551
/m/0g7r0y
/m/0g7r0y


{"/m/06n90": "Science Fiction"}
a 12
about 1
accidentally 1
acclaimed 1
against 1
age 1
ailiss 1
airrage 1
allowing 1
also 1
an 1
and 7
army 1
arrest 1
as 3
attack 1
authorities 1
backdrop 1
bandits 1
become 2
believing 1
between 1
businessman 1
by 2
china 1
chinese 1
climatechange 1
colder 1
commune 3
concerned 1
connecting 1
conscripted 1
considered 1
crash 1
crusties 1
decides 1
defeat 1
destroy 1
discovering 1
draft 1
due 3
dumb 1
encounter 1
end 1
fellow 1
finds 1
for 2
forces 1
foresee 1
gang 1
got 1
government 1
grid 1
group 2
has 1
have 3
helicopter 1
hero 1
highlands 1
himself 1
his 2
hitchhiker 1
however 1
identifies 1
imminent 1
in 1
inadvertently 1
incident 1
inhabited 1
into 3
jase 4
jason 1
join 1
known 1
labour 1
labourers 1
lagger 1
laggers 2
longrunning 1
mason 1
mistaken 1
modern 1
named 1
new 2
nuclearpower 2
of 9
on 1
one 2
or 2
people 1
place 1
presence 1
public 1
retreated 1
rural 1
scotland 1
security 1
semihidden 1
set 1
settlers 3
smokingban 1
society 1
sparsely 1
started 1
station 2
stress 1
takes 1
task 1
terrorist 1
that 1
the 14
their 3
them 2
they 2
this 1
three 1
thus 1
to 10
too 1
travel 1
truck 1
under 2
up 1
war 1
warn 1
west 1
when 1
which 2
who 3
whom 1
works 2
worries 1
worse 1
