14441941
/m/03d3nww
/m/03d3nww
Zoey Dean
2007-04
a 52
aaron 5
about 14
accused 2
act 1
acting 1
acts 4
adam 6
admit 1
admits 3
adulterous 2
advice 2
after 5
afterparty 1
again 3
agent 1
ago 1
agree 1
agrees 6
all 2
almost 1
alone 2
also 1
although 1
ambitious 1
an 5
and 90
andrea 2
angrily 2
anna 40
announces 1
anonymous 1
anxious 1
any 1
anymore 1
anytime 1
apart 1
approach 1
approaches 1
are 12
arrested 1
arrives 2
as 7
asks 1
aspirations 1
at 12
attempts 2
attend 2
attention 1
attic 1
attorneys 1
audience 1
baby 1
back 7
bag 1
balks 1
bar 2
bares 1
be 6
beautiful 4
because 3
become 1
before 2
begins 1
behind 1
being 3
ben 14
benhur 2
between 1
big 1
bitchy 1
blacklist 1
bodhi 4
born 1
both 3
boytoy 1
break 1
breaking 1
breaks 1
bryson 2
bumps 1
but 16
buying 1
by 4
caine 11
calls 2
camera 1
cammie 46
cannot 1
cant 1
career 2
carefree 1
cast 1
catches 2
catching 1
caught 1
celebrity 1
cell 1
center 1
ceo 1
champagne 23
change 1
charity 2
cheating 1
checked 1
children 1
clark 4
class 1
clear 1
clearly 1
clinically 1
closer 1
clothes 2
clubbing 1
coast 2
coffeehousearts 1
college 1
come 1
comes 1
comfort 1
comments 1
community 2
company 3
complete 1
concert 1
concocts 1
confesses 1
confronts 5
confusion 1
connections 3
considering 1
constantly 1
consuela 1
conversation 1
convinced 1
convinces 1
cosmetics 1
couch 1
could 1
cousin 1
cover 1
cruel 1
da 1
daisy 1
date 2
dating 1
day 2
days 1
deal 4
death 1
decide 1
decided 1
decides 2
dee 17
defense 1
delights 1
delivery 1
demetrius 1
deny 1
depressed 2
designer 3
desire 1
destroys 1
detests 1
did 1
different 1
disappointed 1
discuss 1
dismissed 1
distresses 1
disturbed 1
divorce 1
do 1
does 4
doesnt 3
down 2
dress 5
dresses 1
drink 2
drop 1
during 2
east 2
eduardo 5
email 1
emerges 1
emotional 1
ends 1
enjoying 2
enlists 1
evaluated 1
evaluation 3
eventually 1
everyone 1
everything 2
exit 2
expensive 1
explaining 1
explains 1
exquisite 1
familiar 1
family 1
famous 1
fashion 7
father 3
feeling 1
feelings 1
feels 7
fellow 1
felt 1
ferris 1
finally 3
find 3
finds 3
firefighter 1
firehouse 2
first 1
fit 1
fix 1
flirting 2
flirts 1
flood 1
follows 1
for 16
forced 1
fortunately 1
forward 1
found 1
four 1
friend 1
friendly 2
friends 3
friendship 1
frightened 1
from 8
fun 1
future 1
galaxy 1
gilad 1
girl 2
girls 8
giselle 4
give 1
given 4
giving 1
glass 1
go 4
goes 1
good 3
gossip 1
got 1
graduated 1
grieving 1
guilty 1
had 4
handsome 1
happy 1
has 5
hates 1
haunted 1
have 5
having 2
he 20
head 1
heart 1
help 7
helping 1
her 39
high 1
him 6
his 10
hollywood 1
home 1
hot 1
hotel 2
house 3
housesitting 1
how 2
however 6
idea 1
if 4
immediately 1
immensely 1
important 1
impressed 1
in 20
incredulous 1
infuriated 1
insecure 1
inspires 1
instead 4
instructor 1
interested 3
intern 1
interrupted 1
into 6
invades 1
is 38
isnt 1
it 12
jack 10
jackson 12
jacobson 3
jealous 1
jeanne 2
job 3
jobs 1
joking 1
jonah 2
jumps 1
just 1
keeps 1
kept 1
kindhearted 1
kiss 3
kisses 1
know 1
la 3
lamborghini 1
later 5
laughingly 1
launch 1
lead 1
leadership 1
leave 1
leaves 2
leaving 2
lesser 1
lessfortunate 1
lets 1
letter 2
life 1
like 1
line 1
lips 1
lizbette 5
lonely 2
long 1
looking 1
looks 3
lose 1
loss 1
lot 1
love 1
loyal 1
lunch 3
magazine 1
mai 1
make 1
makes 2
making 1
male 1
marriage 1
marry 1
martin 3
may 1
meant 1
meanwhile 2
meet 4
meets 2
memories 1
mentions 1
michigan 4
missing 1
mission 1
model 3
modeling 3
models 5
mogul 1
moment 1
more 3
mother 4
motion 1
move 1
moves 1
movie 1
much 1
mysterious 1
name 1
named 2
nature 1
need 1
negatively 1
neighbor 2
nervous 2
new 9
newest 1
nicer 1
night 3
norman 3
not 9
now 4
number 1
obsessed 1
of 25
off 2
offering 1
offers 2
office 2
often 1
ojai 1
old 3
older 1
on 17
once 1
one 1
only 1
opportunity 1
or 1
organization 1
other 2
out 3
outfit 2
over 5
own 1
paccoast 2
page 1
paid 1
parker 11
part 2
party 1
past 1
pays 1
pen 1
person 1
peruvian 1
petite 2
phone 1
photographer 1
pick 1
picture 1
pictures 3
pinelli 1
pinned 1
plan 2
plans 1
plants 1
pleads 1
pleasantly 1
pleased 1
poppy 13
postbaby 1
