1409091
/m/04_5zp
/m/04_5zp


{"/m/06n90": "Science Fiction"}
a 4
added 1
alcon 1
alliance 3
also 1
an 2
and 8
are 1
around 1
as 3
attachment 1
attack 1
backbone 1
battles 1
before 1
belong 1
bid 1
both 2
bounty 1
by 1
characters 2
cripple 1
days 1
deadly 1
decides 1
desire 1
devastating 1
develop 1
devil 1
distance 1
early 1
elder 1
empire 3
empires 1
escorting 1
essentially 1
eximperial 1
existence 1
experimental 1
expressed 1
feel 1
fight 2
fighter 1
fights 1
follows 1
force 1
from 3
galaxy 1
group 1
growing 1
had 1
here 1
his 2
human 1
hunter 1
in 4
is 2
it 1
its 2
junior 1
just 1
keep 1
killing 1
learn 1
learns 1
life 1
location 1
loss 1
main 2
men 2
mercenary 1
need 1
needs 2
not 1
novel 1
of 12
on 1
once 1
one 1
only 1
opens 2
others 1
overthrow 1
own 2
pilot 1
plan 1
power 1
prestigious 1
raw 1
recruit 1
recruited 2
resign 1
senior 1
separate 1
served 1
ship 3
ships 1
sizable 1
skilled 1
soldiers 1
squadron 1
star 2
stay 1
story 3
surface 1
sutherlin 1
take 1
takes 1
target 1
tests 1
that 1
the 34
their 5
themes 1
these 2
they 1
this 1
threat 1
throughout 1
to 10
two 5
uninhabited 1
unleash 1
up 1
use 1
wanting 1
war 1
ways 1
weapon 1
while 1
wishes 1
with 4
world 2
years 1
younger 1
youth 1
