5385342
/m/0djh1c
/m/0djh1c
Patricia Highsmith
1955
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 11
about 1
accepted 1
according 1
acquaintance 1
afforded 1
after 1
agrees 2
also 1
although 1
american 1
an 4
anchorweighted 1
and 17
apartment 1
approached 2
arrest 1
arrival 2
as 2
ashtray 1
assume 1
assumes 1
assure 1
at 2
attempting 1
be 3
beats 1
become 1
bedroom 1
been 1
begins 1
begun 1
believe 1
boat 2
body 2
book 1
business 1
but 2
by 7
carefully 1
catandmouse 1
caught 1
city 1
clothes 1
committed 1
communications 1
concludes 1
confidence 1
confront 1
confronts 1
constant 1
contemplates 1
cut 1
day 1
dead 1
death 1
decides 1
dependence 1
depressed 1
desire 1
detective 1
dickie 24
discovers 2
disposes 1
does 1
dogged 1
dressed 1
dumped 1
dumps 1
elder 1
encounters 1
ends 1
enters 1
envisions 1
errant 1
eventually 1
ever 1
every 1
exaggerating 1
family 2
father 1
feels 1
final 1
finally 2
for 2
forever 1
forged 1
fortune 1
freddie 1
friend 3
friendship 1
from 2
fund 1
further 1
gain 1
game 1
gave 1
gay 1
gesture 1
getting 1
going 1
greece 2
greenleaf 4
group 1
growing 1
halfremembered 1
happily 1
has 6
have 1
he 10
her 3
herbert 1
hermes 1
highsmith 1
him 11
himself 4
his 12
holiday 1
house 1
however 1
identity 3
if 1
imitate 1
imitating 1
in 12
including 1
indeed 1
ingratiates 1
inherit 1
insinuating 1
into 1
is 9
it 1
italian 1
italy 2
join 1
keep 1
kill 1
kills 1
later 1
latter 1
leaves 1
left 1
lifestyle 1
like 1
living 2
loose 1
magnate 1
maintain 1
make 2
man 1
manages 1
mannerisms 1
marge 7
may 2
means 1
meant 1
meets 1
miles 3
moment 1
mongibello 1
more 1
moving 1
much 1
murder 1
murdered 1
murdering 1
necessary 1
nervously 1
new 1
not 1
oar 1
obsessed 1
of 8
off 1
officers 1
old 1
on 7
one 2
order 1
out 1
outskirts 1
own 1
panicked 1
paragraphs 1
paranoia 1
personal 1
persuade 1
pier 1
police 3
policemen 1
possession 1
presence 1
private 1
probably 1
protagonist 1
providing 1
realising 1
reinforced 1
rented 2
resenting 1
resigning 1
restoring 1
return 1
rich 1
rings 2
ripley 25
robbers 1
rome 2
safe 1
sail 1
same 1
sanremo 1
saved 1
says 1
scams 1
scuttles 1
see 1
seem 1
seems 1
senses 1
sensing 1
series 1
set 2
shall 1
she 4
sherwood 1
shipping 1
short 1
shortly 1
small 1
smalltime 1
social 1
something 1
son 1
soon 1
spend 1
states 1
stays 1
story 1
struggling 1
succession 1
suggests 2
suicide 1
supposes 1
surprises 1
suspects 1
that 12
the 18
them 1
then 2
this 1
time 1
tire 1
to 32
together 1
tom 1
travel 2
traveling 1
trust 2
truth 1
two 1
typewriter 1
united 1
up 1
upset 1
venice 2
verge 1
very 1
waiting 2
was 2
water 1
wealthy 2
what 1
whatever 1
when 4
which 1
while 2
who 1
will 1
with 9
wondering 1
wrong 1
york 1
young 1
