662153
/m/030r0z
/m/030r0z
James Luceno

a 33
able 8
aboard 3
absorbed 1
acclimate 1
achieve 2
actions 1
activities 1
actually 1
advancements 1
affliction 1
after 7
afterwards 1
again 4
against 4
age 1
agrees 1
ailing 1
alike 1
alive 1
all 13
alliance 19
allies 7
allow 1
allows 1
along 2
alpha 4
already 1
also 3
although 2
amazing 1
ambushes 1
amidst 1
among 1
amphistaff 2
an 6
anakin 6
and 92
andor 1
announces 1
anor 13
anything 1
apocalypse 1
appeared 1
appears 2
are 13
arise 1
arrival 1
arrive 2
as 34
at 8
atheism 1
attained 1
avatar 1
avert 1
awakened 1
away 4
back 7
badly 1
battle 8
be 7
beating 1
because 2
become 3
been 8
before 5
began 1
begins 3
being 1
believe 1
believes 2
between 1
big 1
biological 3
biots 2
bith 5
bitter 1
body 2
bodyguards 1
both 2
bothans 1
brain 5
brigade 2
brings 2
broaden 1
but 8
by 16
c3po 1
cakhmaim 1
cal 1
calamari 3
caluula 9
camp 2
cant 1
capital 5
captain 1
captives 2
captured 3
captures 1
carr 1
carried 1
carry 1
caused 1
causing 1
cease 2
chemical 1
chewbacca 3
chief 1
choka 7
chute 1
citadel 4
code 4
coerce 1
coffer 14
collapse 1
collect 2
collected 1
come 1
commandeered 1
commandos 3
commands 1
companion 1
company 1
compensate 1
completely 1
complex 1
concoct 2
conflict 1
confront 2
confrontation 1
confronts 1
connection 4
conquer 1
consider 1
consortium 1
contempt 1
contested 2
continue 2
control 5
controlling 1
convicted 1
convince 1
convinced 1
convinces 1
convincing 2
convoy 1
coral 1
cortex 1
corulag 1
coruscant 2
could 4
counter 1
craft 2
creating 1
creatures 2
crew 2
crimes 1
culture 1
cure 1
cut 1
damaged 1
dead 3
deadly 1
death 2
debriefed 1
debt 1
decapitate 1
decides 1
declares 2
defeats 1
defending 1
defenses 1
deformities 2
deployed 1
deposited 1
deranged 1
despite 3
destroy 2
destroyed 1
destruction 1
destructive 1
detriment 1
dhuryam 1
did 2
die 4
dies 1
disasters 1
disbanded 1
discern 1
discover 1
discovered 1
discovers 1
discuss 1
distraction 1
division 1
dna 2
do 3
docile 1
done 2
down 1
due 3
duel 1
duro 2
durron 1
dying 2
