1384886
/m/04yb4v
/m/04yb4v
Ernest Hemingway
1926
a 8
about 1
after 1
all 1
american 1
and 3
anecdotes 1
anguishes 1
another 1
any 1
approaching 1
as 1
asks 1
at 3
beanery 1
becomes 2
befriends 2
begins 1
book 1
books 1
both 1
british 2
but 3
by 1
clothed 1
daughter 1
depressed 1
desire 1
diana 2
diner 1
disenchanted 1
doesnt 1
during 1
end 1
enters 1
enthralls 1
even 1
fact 1
factory 1
falls 1
feared 1
find 1
for 2
from 1
has 1
have 1
he 6
her 4
him 4
his 1
home 1
husband 1
i 1
immediately 1
impress 1
in 4
indians 1
is 2
johnson 2
leaves 2
left 1
lists 1
literary 1
love 1
made 1
mandy 1
marry 1
men 1
michigan 1
mid120s 1
moccasins 1
native 1
near 1
new 1
northern 1
of 6
officer 1
one 1
oneill 3
only 1
over 1
parisian 1
period 1
possibly 1
prostitute 1
pump 1
reading 1
restaurant 1
returning 1
reviews 1
scripps 1
seem 1
set 1
she 1
small 1
soon 2
spring 2
story 2
that 2
the 10
though 1
times 1
to 4
torrents 1
tries 1
two 2
ultimately 1
up 1
veteran 1
waitress 2
war 1
which 1
who 3
whom 1
wife 2
with 4
woman 2
work 1
world 1
would 1
writer 1
yogi 1
york 1
