4923352
/m/0cvdb4
/m/0cvdb4
Dean Koontz
2006-11-28
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/059r08": "Psychological novel"}
a 16
abbey 6
able 2
about 1
acting 1
actually 1
adventures 2
after 2
against 1
agency 1
agent 1
all 1
along 1
although 1
among 1
an 3
and 13
another 1
apparition 2
are 1
as 7
assailant 1
assists 2
at 4
attacked 1
attempt 1
back 3
bartholomew 1
be 2
been 1
before 1
befriends 1
begins 1
believes 1
bell 1
bells 1
bodach 1
bodachs 1
body 1
bonecreature 1
bonemonsters 2
bones 2
book 1
bring 1
brother 5
but 2
by 6
can 1
car 1
children 3
cocoon 1
computer 1
confidant 1
continue 1
convince 1
cooling 1
created 3
creations 1
creature 2
crosses 1
damages 1
dead 1
death 3
decides 1
defend 1
determine 1
disabled 1
disaster 2
discovers 1
dog 2
down 3
drawn 1
during 2
elvis 1
ends 1
entering 1
even 1
everyone 1
experimented 1
fabric 1
father 1
finally 1
find 2
for 5
forecasting 1
forever 1
former 1
frank 1
from 2
full 1
further 1
garage 1
ghost 1
goes 1
great 2
greater 1
guest 2
has 3
have 1
he 12
hears 2
heineman 1
highway 2
him 6
his 6
hometown 1
hopes 1
if 1
image 1
in 6
innermost 1
instead 1
intends 1
into 1
intricate 1
is 7
it 2
jacob 2
john 7
killing 1
known 1
knuckles 1
lab 1
later 3
leave 2
limiting 1
looking 1
made 1
magnetism 1
man 1
meets 1
missing 3
model 1
moments 1
monk 3
monks 5
months 1
multiplied 1
mysterious 1
named 1
national 1
neverwas 2
noise 1
novel 1
now 1
odd 19
of 10
on 4
one 2
only 1
options 1
other 2
otherwise 1
out 1
over 2
pattern 1
peace 1
physicist 1
pick 1
plans 1
plow 1
poltergeist 1
portends 1
premonition 1
presley 1
protect 1
proved 1
psychic 2
pulls 1
reality 3
research 1
resembles 1
reveals 1
rides 1
rings 1
rodion 1
romanovich 7
room 1
saving 2
school 4
searches 1
security 1
seek 1
sees 3
sent 1
sets 1
seven 1
shadelike 1
shifting 2
shoot 1
silence 1
sinatra 1
snowstorm 1
something 1
sometimes 1
spirit 1
sport 1
spy 1
st 1
stop 1
storm 2
suddenly 1
suspicious 1
suv 2
syndrome 1
takes 1
that 6
the 43
their 1
them 1
there 2
they 1
thinks 1
this 1
thomas 1
thought 1
thoughts 1
three 1
time 2
to 16
together 1
toward 1
tower 2
traditional 1
tuning 1
turned 1
understanding 1
united 1
unknown 1
up 1
utility 1
vehicle 1
venture 1
walks 1
way 2
when 1
where 2
while 1
whitefurred 1
who 4
will 1
window 1
with 4
