55737
/m/0fgws
/m/0fgws
Tom Clancy

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 18
abandonment 1
about 1
acting 1
activity 1
administration 1
advisor 1
after 3
against 2
agency 1
aide 2
aiding 1
air 2
aircraft 5
airstrips 2
all 1
allowing 1
also 1
alternate 1
americans 1
an 3
and 20
are 7
arm 1
arthur 1
as 4
assassination 1
assigned 1
at 1
atrocity 1
attack 2
attorney 1
await 1
battalions 1
be 3
behind 1
being 2
believed 1
between 1
blackmails 1
blast 1
blend 1
bombs 2
brief 1
briefs 1
bureau 2
but 1
by 5
caper 2
capturing 1
carbomb 1
caribbean 1
cartel 10
casing 1
casualties 1
central 2
challenger 1
chavezmdashthen 1
cia 1
clark 7
classifying 1
cleaning 1
clear 1
coast 2
coca 1
colombia 6
command 1
commits 1
committee 2
communications 2
compelled 1
confess 1
confronted 1
confronts 1
congress 1
congressional 1
consists 1
consumed 1
contact 3
coordinate 1
cortez 7
covert 2
crew 1
crime 1
cuba 2
cutter 6
damage 1
danger 1
date 1
deck 1
defiant 1
delegation 1
deliberately 1
delivers 1
demand 1
departure 1
deputy 2
despite 1
destroyed 1
dignity 1
director 4
directorate 1
discovered 1
discovers 1
dispatched 1
distributing 1
domingo 1
down 1
drastic 1
drug 5
drugs 1
drugtrafficking 1
due 1
during 1
eagle 2
eagles 1
effort 1
election 1
emil 1
employed 1
encounter 1
ending 1
engineer 1
evasive 1
eventually 1
evidence 1
execution 1
explanation 1
extracting 1
extraction 1
eye 2
f15 1
failures 1
family 1
federal 2
feels 1
feigns 1
flies 1
flights 1
flix 1
for 5
force 3
forced 1
former 1
four 2
fowler 1
from 4
general 1
give 1
goes 1
ground 1
groundattack 1
guard 1
guardsmen 1
has 2
have 1
he 5
hearing 1
helicopter 2
hide 1
him 2
his 6
hispanic 1
honor 2
hunt 1
hurricane 1
illegal 1
imports 1
impression 1
in 13
include 1
infantry 1
infiltrating 1
information 5
informing 1
initiates 1
inquiry 1
intelligence 4
intercept 2
interception 1
intercepts 2
interest 1
interrogated 1
into 3
intracartel 1
investigation 2
involved 2
involvement 1
involves 2
is 11
it 2
j 1
jack 1
jackson 1
jacobs 4
james 1
john 1
killed 1
killers 1
land 2
laserguided 1
later 2
launch 1
laundering 1
learned 1
leave 1
light 1
lightfighters 1
local 1
locations 1
loop 1
loses 1
makes 3
man 2
management 1
marked 1
means 1
meanwhile 1
measures 1
meeting 1
men 1
mercenaries 2
mobile 1
mock 1
money 2
moore 3
more 1
most 1
murdered 1
murdering 1
must 1
narcotics 1
national 1
of 26
officer 1
official 1
on 3
only 1
operation 5
operations 8
order 2
ordering 1
orders 3
originally 1
other 3
others 1
out 1
outraged 1
outside 1
over 1
oversight 1
panache 2
pentagon 1
personnel 1
phone 1
pick 1
pickup 1
pilots 1
plan 1
planning 1
plans 1
points 1
population 1
position 1
post 1
power 1
present 1
president 6
privy 1
processing 1
promising 1
protect 1
public 1
put 1
radio 2
raid 1
rallied 1
realizes 2
reciprocity 1
reelection 1
regarding 2
region 1
remaining 2
report 1
rescue 1
retaliation 1
retrieve 1
returned 1
reveals 1
ritter 1
robby 1
robert 2
romantic 1
running 1
ryan 12
scheme 1
sea 1
seconded 1
security 1
seize 1
seizure 1
several 2
shadowed 1
should 1
showboat 4
sites 1
situation 1
slow 1
soldiers 2
some 1
stakeout 1
states 2
stepup 1
suicide 1
suppresses 1
survivors 2
suspects 1
take 2
team 2
teams 3
teamsmdashwhich 1
than 1
that 5
the 68
them 3
these 1
they 2
this 3
those 1
thought 1
through 1
times 1
to 31
together 1
trafficking 1
traitor 1
treason 1
troops 3
two 3
uncovers 1
united 1
unknowingly 1
up 2
upon 2
us 8
used 1
uses 2
using 1
vessel 1
visit 2
war 3
was 1
when 1
where 2
which 1
who 1
will 3
with 9
withhold 1
within 2
world 1
yacht 1
yet 1
