11778750
/m/02rrzsp
/m/02rrzsp
Zane Grey
1921
24 1
a 10
after 1
again 2
allies 4
an 1
and 16
are 3
arizona 1
arrival 1
arrives 1
as 4
at 3
attacks 1
awake 1
back 1
battle 1
battles 1
been 1
begins 1
believes 1
best 1
box 1
but 2
by 2
cant 1
caon 1
cattle 3
certain 1
clans 1
deadly 2
declaring 1
deep 1
defends 1
destination 1
discovers 1
doubt 1
dreads 1
during 2
dying 1
each 1
earlier 1
ellen 8
ellens 1
ends 1
enemies 1
erupts 1
events 1
fact 1
falls 1
family 3
fatal 1
father 3
fear 1
feared 1
fears 1
feud 3
few 1
finally 2
first 2
flee 2
flight 1
foot 1
for 1
forced 3
four 1
from 2
frontier 1
gaston 1
general 1
get 1
gun 2
had 1
has 1
he 3
her 9
herself 1
hidden 1
hideout 2
him 2
his 7
honor 1
honorable 1
horse 3
house 1
in 14
interrupted 1
interruption 1
into 1
is 8
isbel 4
isbels 1
jean 9
jorth 4
jorths 1
just 1
kill 1
killed 1
kills 1
last 2
later 2
learn 1
learns 1
lee 1
locked 1
loft 1
love 2
makes 1
man 1
meet 1
meets 2
mind 2
minute 1
minutes 1
mortal 1
most 1
moved 1
multiweek 1
nearby 2
nears 1
not 1
now 1
of 10
old 1
on 1
once 1
one 3
oregon 1
other 2
out 2
part 2
play 1
protect 1
proved 1
ranch 2
rape 1
refuge 1
remaining 2
remnant 1
returns 1
rustler 4
rustlers 2
several 1
she 4
shot 1
sight 1
stages 1
start 1
store 1
story 2
take 1
that 3
the 26
their 5
them 2
then 1
there 1
they 4
thick 1
thief 1
thieves 1
thin 1
this 1
three 1
through 1
to 10
tow 1
town 1
track 1
trip 1
true 1
truth 1
two 1
under 1
unfold 1
unknown 1
wants 1
way 1
were 1
when 2
where 1
with 6
woman 1
woods 2
words 1
year 1
years 1
