12837555
/m/02x7003
/m/02x7003


{"/m/01qxvh": "Romance novel"}
a 2
accused 1
act 1
admire 1
after 1
ambitious 1
an 1
and 6
as 1
attain 1
away 1
bane 1
beauty 1
because 1
beguildy 2
believe 1
believed 1
best 1
blighted 1
blights 1
both 1
brother 1
but 3
by 4
cannot 1
carries 1
central 1
character 2
could 1
cruel 1
defies 1
deserve 1
destroys 1
does 1
father 1
from 1
gideon 3
grow 1
happiness 1
harelip 2
having 1
he 2
hell 1
her 4
herself 1
him 1
his 1
in 2
incurs 1
is 7
it 2
jancis 2
john 1
kester 2
let 1
life 2
lost 1
love 2
makes 1
may 1
milton 1
mob 1
money 1
murder 1
napoleonic 1
narrated 1
never 1
none 1
of 9
only 1
overridingly 1
overwhelms 1
paradise 1
perceives 1
possess 1
power 1
precious 1
prue 5
records 1
refers 1
regardless 1
reject 1
riches 1
rural 1
sarn 1
scheming 1
selfproclaimed 1
set 3
she 2
shortly 1
shropshire 1
so 1
soyle 1
story 2
suffers 1
sweetheart 1
that 2
the 12
them 2
title 1
to 4
tragedy 1
upon 1
vengeance 1
wars 1
wealth 1
weaver 1
wed 1
which 1
while 1
who 1
whose 1
wizard 1
woodseaves 1
worthy 1
wrath 1
wrongly 1
