5834189
/m/0f82lg
/m/0f82lg
Robert Silverberg
1955
1 1
125 1
15 1
155 1
2 1
20yearold 1
2363 1
3 1
35th 1
a 9
about 1
academy 1
action 1
actions 1
affect 1
after 1
alpha 5
also 1
american 1
an 1
and 11
apparently 1
are 1
arrival 1
arrives 1
as 3
at 3
awarded 1
based 1
be 2
been 3
begins 1
book 1
business 1
but 1
by 1
c 3
cadet 4
can 1
carden 2
career 1
centauri 2
character 1
choose 1
clear 1
colonists 2
colonized 1
comes 1
commanders 1
commission 1
confident 1
confirmed 1
consequences 1
course 2
crew 1
cruise 2
customary 1
days 1
declare 1
dinosaurs 1
distinctive 1
earlier 1
earth 3
earthlike 1
edition 1
electric 1
electronic 1
ellison 2
embarking 1
end 1
england 1
events 1
fasterthanlight 1
father 2
feels 1
fiction 1
fight 1
final 1
first 1
for 5
four 1
fourth 1
fresh 1
from 2
graduate 1
guitar 2
had 1
half 1
harl 1
harlan 1
has 2
he 5
himself 1
his 5
honorable 1
in 9
include 1
independence 1
infallibility 1
inhabited 1
interstellar 1
is 7
its 1
iv 1
jeopardy 1
journey 1
just 1
larry 1
life 1
lightyear 1
line 1
long 1
love 1
makes 1
may 1
metaphor 1
must 1
named 2
neighbor 1
new 1
no 1
note 1
novel 1
obey 1
occasion 1
of 15
officer 1
on 4
orbiting 1
orders 1
overdrive 2
patrol 5
phrase 1
place 2
planet 3
possibly 1
potentially 1
principle 1
proper 1
protagonist 1
proud 1
radio 1
representing 2
revolution 2
right 1
science 1
ship 3
sides 1
silverberg 2
situation 1
space 6
span 1
special 1
star 1
stark 3
story 3
takes 1
taught 1
technology 1
that 2
the 40
their 1
there 1
things 1
this 3
time 2
to 6
training 1
true 1
trust 1
tube 1
ultimately 1
us 1
used 2
uses 1
using 1
vacuum 1
voting 1
warping 1
was 4
watch 1
where 1
who 3
will 1
with 3
would 1
wrist 1
wristchron 1
writer 1
writing 1
wrong 1
year 2
years 1
york 1
young 1
