6083274
/m/0fp987
/m/0fp987
George Selden
1960
1 1
a 14
about 3
accepts 1
accidentally 2
accuses 1
advent 1
after 4
all 1
along 1
an 1
and 22
angry 1
are 1
around 1
arsonist 1
as 3
asleep 1
at 5
attention 1
away 1
be 1
become 1
becomes 1
being 1
bellini 8
bellinis 1
best 1
bill 1
blocks 1
brings 1
but 4
buys 1
by 1
cage 1
can 1
cashier 1
cat 1
caught 1
causes 2
central 2
change 1
chester 28
chinatown 2
chirp 1
chirping 1
chirps 3
city 2
classical 1
clear 1
coin 1
collected 1
collection 1
come 1
commuter 1
concerned 1
concert 2
concerts 2
connecticut 3
convince 1
country 1
countryside 1
cricket 4
crowds 1
customer 1
day 1
decide 1
decides 1
demands 1
dismay 1
do 1
dollar 1
during 2
easygoing 1
eats 1
ends 2
everyone 1
extremely 1
fall 2
falls 1
farewell 1
favorite 1
final 1
financially 1
finds 2
fire 2
fong 1
food 1
for 5
fortunes 1
from 4
germs 1
get 1
gets 1
give 1
gives 3
glad 1
go 2
going 1
gone 1
good 1
goodbye 1
grand 2
hadnt 1
happy 2
harry 6
has 3
have 1
having 1
he 12
heading 1
her 2
him 3
his 5
home 2
hop 1
however 2
hymns 1
if 2
im 1
impressed 1
in 3
is 7
isnt 1
it 2
items 1
keep 1
last 2
later 5
leads 1
letter 1
life 1
listen 1
loud 1
luck 1
magazines 1
makes 1
mama 4
mario 7
maybe 1
meets 1
memory 1
mind 1
moment 1
money 1
more 2
mouse 1
mr 1
much 1
music 4
musical 1
named 1
new 4
newspaper 1
newspapers 1
newsstand 10
night 1
of 6
on 4
one 3
opera 1
other 1
out 2
overwhelming 1
owner 1
papa 2
parents 2
part 1
party 1
perfect 1
pet 1
pieces 1
playing 1
plays 1
point 1
presence 1
printed 1
put 1
realizes 1
replace 1
return 1
returned 1
reveals 1
rid 1
right 1
run 1
sai 1
same 1
save 1
say 1
saying 1
says 2
scrounging 2
selections 1
selling 1
senses 1
seriously 1
set 1
she 1
shop 1
should 1
show 1
sings 1
smedley 1
so 1
song 1
spend 1
square 3
start 1
starts 1
stay 1
still 1
stop 1
stopping 1
story 3
struggling 1
stumbling 1
subway 1
surprises 1
take 1
takes 2
talent 1
teacher 1
telling 1
tells 1
terminal 1
that 15
the 31
their 2
them 1
there 1
they 3
theyll 1
this 5
thrown 1
time 2
times 4
to 27
train 3
tries 1
tucker 7
turn 1
two 1
unhappy 1
up 2
very 1
via 1
visit 1
wakes 1
wants 4
wasnt 1
well 1
what 1
when 2
where 1
which 4
while 1
who 3
whose 1
will 1
wishes 1
with 5
writes 1
york 3
