21000003
/m/05b3n8_
/m/05b3n8_
Jack Higgins


a 17
action 1
against 1
agent 1
all 1
an 3
and 15
armed 1
article 1
as 1
attack 1
be 3
befriends 1
beirut 1
bernstein 1
billy 2
black 1
blake 1
boat 1
branch 1
brigadier 1
bring 1
british 1
business 1
businessman 1
but 1
by 2
cache 1
captured 1
casino 2
caught 1
causing 1
closing 1
coast 1
comes 1
commando 1
commandostyle 1
contacts 1
cornwall 1
county 1
death 1
defence 1
deposit 1
destined 1
destroy 3
detective 1
diamonds 1
dice 1
die 1
dillon 4
don 1
down 2
effect 1
ensuing 1
enthusiastic 1
escape 1
exfbi 1
exhusband 1
exira 1
expose 1
family 1
ferguson 1
fight 1
final 1
finally 1
financial 1
first 1
flies 1
foil 1
for 4
foray 1
force 1
fox 11
from 1
gambling 1
gangster 1
gangsters 1
government 1
gunman 1
hannah 1
harbour 1
has 3
he 6
heading 1
henchmen 2
her 2
him 1
himself 1
his 4
hopes 1
house 1
in 10
interest 1
interests 1
involves 1
ireland 1
is 5
israel 1
jack 1
johnson 6
join 1
journalist 1
katherine 1
killed 2
land 1
landing 1
large 1
launches 1
learns 2
loaded 2
london 6
louth 1
mafia 2
mandate 1
mansion 2
marco 1
member 1
mercenary 1
million 1
minders 1
ministry 1
missiles 1
mossad 1
nephew 1
new 1
next 2
now 2
of 8
on 5
operation 2
operations 2
order 1
other 1
parachute 1
patron 1
plan 1
plans 1
plot 1
pounds 1
presidential 1
recruits 1
released 1
report 1
represents 1
safe 1
salter 1
sean 1
sees 1
series 1
several 1
she 1
ship 1
showdown 1
solazzo 2
special 2
steal 1
success 1
superintendent 1
taken 1
thames 1
that 1
the 13
their 1
they 2
this 1
to 14
together 1
uncle 1
unit 1
used 1
using 1
vows 1
weaponry 1
what 1
which 3
whilst 1
white 1
who 1
will 1
with 5
working 2
worth 1
wounded 1
write 1
york 1
young 1
