1533471
/m/058pdl
/m/058pdl
Giorgio Bassani
1962
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
157 1
a 8
ability 1
affair 1
alberto 3
all 2
an 4
and 11
annual 2
any 1
appeared 1
are 1
around 1
at 5
attempts 1
attitude 1
before 2
bicycle 1
bike 2
book 4
born 1
brief 1
but 3
by 1
camp 1
cemetery 1
chance 1
child 1
childhood 1
children 3
christian 1
christians 1
circles 1
club 2
college 1
comes 1
concentration 1
concern 1
contemplation 1
conversation 1
court 1
cover 1
covers 2
dallies 1
daughter 1
declares 1
deportation 1
describes 1
describing 1
died 2
disease 1
during 1
empty 1
end 1
ends 1
enter 1
exams 2
excuses 1
experiences 1
fading 1
failed 1
fails 1
family 2
father 1
fear 1
ferrara 1
ferrarese 1
final 1
finzicontini 2
finzicontinis 5
first 3
for 4
forcefully 1
form 1
friend 2
friendship 2
from 1
futile 1
garden 3
germany 1
giampi 1
growing 1
guido 1
has 2
have 1
having 1
he 7
her 1
hiding 2
him 1
himself 1
his 9
hodgkins 1
however 1
illness 1
in 9
informal 1
invited 1
involvement 1
is 1
italian 1
jew 1
jewish 2
just 1
later 1
laws 1
local 1
loses 1
love 1
lymphogranulomatosis 1
main 1
malnate 2
mansion 1
mass 1
math 1
mausoleum 1
micl 8
more 2
mystery 1
narrator 11
next 1
none 1
novel 1
of 23
off 1
older 1
on 1
one 1
only 1
opens 1
or 1
other 1
out 4
outside 1
over 1
own 1
part 1
particular 1
parts 1
peters 1
place 1
playing 1
point 1
population 1
pretty 1
prologue 1
promotion 1
racial 1
reaction 1
relationship 1
remainder 1
remains 1
required 1
restart 1
restricted 1
reveals 1
romance 1
safe 1
safety 1
school 1
schooled 1
section 1
see 1
sent 1
separately 1
set 1
several 1
she 1
show 1
shyly 1
slots 1
slow 1
slowly 1
so 2
social 1
socialist 1
socialize 1
son 1
stands 1
survived 1
suspects 1
takes 1
tennis 2
test 1
that 3
the 54
their 2
then 1
these 1
this 2
time 1
times 1
to 7
towards 1
two 2
until 1
up 1
various 1
views 1
visit 1
visits 1
wall 1
walls 1
was 1
week 1
were 1
when 1
where 2
which 1
while 1
who 4
whom 1
with 7
year 1
years 2
young 1
