18648779
/m/04gh84k
/m/04gh84k

1987-05
{"/m/06n90": "Science Fiction"}
a 1
advice 1
all 1
although 1
always 1
and 1
assaulting 1
attack 1
attacked 1
being 1
by 1
call 1
chief 1
crew 1
critically 1
die 1
difficult 1
discovers 1
distress 1
doctor 1
down 1
dozens 1
enemies 1
enterprise 2
forces 1
former 1
from 1
has 1
he 1
his 2
identity 1
in 1
injured 1
injuries 1
is 2
it 1
kirk 1
leads 1
leonard 1
lost 1
mccoy 2
medical 1
members 1
mentally 1
more 1
much 1
mysterious 1
new 1
of 3
officer 1
other 1
physically 1
recovers 1
same 1
sense 1
ship 1
the 5
their 1
to 1
tracking 1
uss 1
valued 1
without 1
