8821138
/m/027kyq5
/m/027kyq5
Robert Muchamore
2004-04-30
2004 1
a 19
about 1
adams 2
adamschoke 1
admitted 1
after 1
agent 1
agents 1
air 1
alcohol 2
all 1
amy 3
an 2
and 10
anthrax 2
are 1
arrested 1
artist 1
as 2
at 5
attack 2
awakes 1
baby 1
bacteria 1
basic 3
because 1
bedroom 1
beer 1
before 1
befriend 1
begins 1
behave 1
best 3
blueman 3
book 1
boy 1
bruce 2
burnt 1
but 1
by 2
called 3
camp 1
campus 1
care 1
centre 1
chairman 1
chang 2
changes 1
changing 1
character 1
cherub 7
children 2
choke 2
closest 1
collins 3
complete 1
completing 1
conference 1
dad 1
dies 2
discover 1
dr 1
during 1
earth 2
eco 1
ecoterrorist 1
embarks 1
entrance 1
fact 1
father 1
fear 1
find 2
first 3
for 1
fort 4
friend 2
friends 2
friendship 1
from 5
gets 2
getting 1
girlfriend 1
going 1
ground 1
group 2
happening 1
harmony 4
has 3
he 13
help 2
her 2
him 4
himself 1
hippies 1
hippy 1
his 4
home 2
hospital 1
house 3
however 1
in 7
incident 1
including 1
infiltrate 1
injury 1
into 2
introduces 1
is 15
james 20
joined 1
joins 1
kerry 3
knee 1
known 1
knows 1
kyle 6
later 1
lauren 1
learn 1
like 1
live 1
mac 1
main 1
martial 1
master 1
mcafferty 1
meanwhile 1
meets 3
military 1
mission 3
missions 1
more 1
morning 1
mother 2
must 3
name 1
nebraska 3
next 1
norris 1
of 6
often 1
old 1
older 1
on 4
one 2
onions 1
order 1
out 1
overdose 1
overthrow 1
partner 1
passes 2
past 1
person 1
petrocon 1
place 1
plot 2
police 1
potential 1
prevent 1
prevented 1
process 1
puts 1
raid 1
recruits 1
related 1
release 1
revealed 1
ron 1
room 1
rushed 1
saved 1
scumbag 1
sent 1
series 1
severe 1
shared 1
shares 1
she 2
sister 1
sixteenyearold 1
start 1
stealing 1
step 1
strong 1
surname 1
swim 2
swimming 1
taken 1
takes 1
taught 1
teaches 1
terrence 1
terrorist 2
tests 1
than 1
that 1
the 21
then 2
they 1
this 2
through 1
to 16
training 3
treated 1
twelve 1
two 2
virus 1
where 3
which 3
who 1
whom 1
whose 1
with 5
year 1
years 1
