2706718
/m/07z797
/m/07z797
Winston Groom
1995
10s 1
180s 1
a 7
academy 1
accidentally 1
advises 1
affected 1
after 1
american 1
an 2
and 14
angel 1
appears 1
are 1
as 4
attends 1
awards 1
ayatollah 1
bakker 1
berlin 1
bill 1
boesky 1
book 4
bubba 2
but 1
cannibals 1
celebrities 1
character 2
clinton 1
cognitive 1
coke 1
colonel 1
company 2
crashes 1
dan 2
david 1
death 1
deficient 1
desert 1
destroy 1
develop 1
device 1
difficulties 1
dont 2
doortodoor 1
early 1
education 1
encyclopedias 1
even 1
events 2
exxon 1
failure 1
farm 1
fights 1
film 1
find 1
first 4
fondness 1
football 1
for 2
forrest 5
frequent 1
frequently 1
friend 1
get 1
goes 1
grammar 1
guardian 1
gump 6
hanks 3
have 1
he 4
hearted 1
helps 2
hillary 1
him 1
hinckley 1
his 3
historical 1
history 1
however 1
hussein 1
idiot 1
imp 1
in 6
including 1
indicate 1
infamous 1
into 1
is 1
it 2
ivan 1
jenny 2
jim 1
john 1
khomeini 1
kind 1
let 1
letterman 1
lieutenant 1
life 3
listen 1
lt 1
make 1
many 1
matter 1
meets 1
mentions 1
mission 1
mistakes 1
more 1
movie 2
named 1
nasa 1
never 1
new 2
nobody 1
north 1
not 1
of 3
oliver 1
on 3
operation 1
or 1
orangutan 1
orleans 1
oystering 1
oysters 1
page 1
pig 1
plays 2
readers 1
reagan 1
reallife 1
revitalizes 1
right 1
ronald 1
runs 1
saddam 1
saints 1
savant 1
sells 1
show 1
shrimp 2
similar 1
son 1
spelling 1
storm 1
story 2
stumble 1
stumbles 1
sue 1
suggests 1
surrounding 1
survived 1
tells 1
text 1
that 1
the 23
they 1
though 1
through 3
throughout 1
to 6
tom 3
used 1
valdez 1
wall 1
way 1
whether 1
who 2
wife 1
with 2
works 1
wrong 1
your 1
