5578822
/m/0dthzw
/m/0dthzw
Gary Brandner

a 9
adamant 1
affair 1
all 1
although 1
an 1
and 11
angeles 2
are 2
arrives 1
as 4
at 3
attacked 2
be 1
beatty 1
become 1
becomes 2
becoming 1
begins 1
believes 1
best 1
between 1
bites 1
bitten 1
black 2
breakdown 1
breaks 1
bullets 1
but 1
by 2
californian 1
can 1
chris 3
city 1
comes 1
coming 1
commotion 1
contacts 1
continues 1
couple 1
cursed 1
days 1
discovers 1
distance 1
disturbed 1
drago 3
engulfed 1
entire 2
escape 1
eventually 1
fact 1
fend 1
fire 1
flames 1
flee 1
for 1
forced 1
friend 1
friendly 1
from 3
further 1
go 1
group 1
had 1
halloran 1
has 1
he 2
head 1
hear 2
her 6
him 1
himself 1
his 1
home 3
house 1
however 2
howling 3
husband 3
ill 1
in 10
inhabitants 1
insistence 1
is 9
its 1
karyn 10
large 1
leave 1
lifestyle 1
local 1
locals 1
los 2
lura 2
made 1
marcia 2
marriage 1
middleclass 1
miscarriage 1
more 2
mountain 1
mounts 1
named 1
nervous 1
new 1
night 2
nlthe 1
now 1
of 7
off 1
offers 1
on 2
one 3
only 1
out 1
outside 1
population 1
puts 1
quiet 1
raped 1
recuperates 1
rescue 1
revealed 1
roy 6
secluded 1
several 1
she 5
shoot 1
shopkeeper 1
silver 1
some 1
something 1
sound 1
stay 1
still 1
strain 1
strange 1
suffers 1
sweeps 1
tension 1
that 3
the 19
their 1
them 1
there 1
they 2
this 1
though 1
through 1
to 5
town 3
trapped 1
two 1
unstable 1
up 1
village 1
was 1
way 1
werewolf 2
werewolves 2
when 2
which 3
whilst 1
who 1
with 2
wolf 2
women 1
woodland 1
woods 4
