7489838
/m/0263b4h
/m/0263b4h
Patricia Cornwell
1992
a 4
ace 1
after 1
again 1
against 1
all 3
an 2
and 3
apparently 1
are 1
at 1
attractive 1
been 1
before 1
bodies 1
by 1
can 1
case 1
cause 1
chief 1
clue 1
couples 1
courage 1
crime 1
death 1
determine 1
down 1
dr 1
draw 1
elements 1
eliminating 1
enlists 1
even 1
every 2
exact 1
examiner 1
exposure 1
fbi 1
finds 1
for 1
forensic 1
found 1
frustrated 1
has 1
have 2
he 1
help 1
her 4
hightech 1
in 4
inevitably 1
intuition 1
is 2
kay 3
killer 3
latermdashminus 1
left 1
loose 1
medical 1
months 2
murderer 1
must 1
now 1
of 4
own 1
personal 1
powers 1
proved 1
psychic 1
racing 1
remains 2
reporter 1
resources 1
richmond 1
scarpetta 1
serial 1
she 1
shoes 1
skilled 1
skills 1
socks 1
specializing 1
stop 1
strike 1
that 3
the 6
their 1
time 1
to 5
track 1
unable 1
upon 1
useless 1
victims 1
vouched 1
whose 2
will 1
woods 1
young 1
