13706991
/m/03cfq8h
/m/03cfq8h
Helen Dunmore
2007-05-01
{"/m/0dwly": "Children's literature"}
a 7
able 1
after 1
agrees 2
air 1
all 1
also 1
although 1
an 1
and 13
approval 1
as 1
asks 1
assembly 1
awakened 1
back 3
battle 1
be 2
blood 1
bloodmdashhalf 1
bracelets 1
brother 1
but 5
by 3
cannot 1
causes 1
chapter 1
choice 1
clearly 1
condition 1
conor 6
cottage 1
counters 1
cove 1
creature 2
crossing 1
deal 2
deep 7
destroy 1
deublek 1
devastating 1
do 1
does 1
dual 1
elvira 1
ends 1
ervys 2
especially 1
face 1
faro 7
father 1
final 1
find 1
flood 1
for 1
friend 2
friendship 1
from 1
furious 1
get 1
gives 1
go 6
goes 1
good 1
hair 1
half 1
has 3
have 2
he 2
help 3
her 3
him 2
his 2
human 1
humanmdashcan 1
if 1
in 4
ingo 4
insisting 1
into 2
is 9
it 3
knot 1
kraken 6
leader 1
learns 1
leave 1
legend 1
let 1
make 1
makes 1
making 1
manages 1
may 1
mer 11
minds 1
mirror 1
monster 1
moved 1
must 1
news 1
not 6
now 1
ocean 1
of 7
on 1
only 2
or 1
out 1
outraged 1
overcome 1
part 1
power 1
problems 1
pure 2
put 2
really 1
return 1
revealed 1
safe 1
saldowr 1
sapphire 9
saves 1
says 1
sees 1
shapeshifter 1
she 6
should 1
sister 1
sleep 3
so 1
spokespersonselfproclaimed 1
still 1
stirring 1
stirs 1
summoned 1
tell 1
terrifying 1
that 6
the 34
their 3
them 2
this 2
those 2
through 1
tide 1
time 1
to 15
together 1
too 1
torn 1
visiting 1
want 1
whale 1
whalethat 1
what 1
when 2
which 1
will 4
with 9
without 1
world 1
worlds 1
