11788470
/m/02rscvz
/m/02rscvz
Katherine Mansfield


a 8
about 2
adds 1
advances 1
after 1
afternoon 1
agreed 1
alice 1
alone 2
along 2
an 1
and 13
any 1
apologises 1
are 3
as 1
asks 2
at 2
attempts 1
aunt 3
baby 1
back 2
bay 2
be 2
beach 1
become 1
before 1
being 2
believes 1
beryl 4
best 1
bought 1
boy 1
boys 2
brief 1
bungalow 2
burnell 1
but 2
by 1
card 1
change 1
changed 1
charmed 1
children 1
china 1
clear 1
come 1
comes 2
confesses 1
countryside 1
crescent 1
description 2
die 1
died 2
disapproval 1
disapproves 1
dog 1
dont 1
down 1
dropsy 1
early 1
expresses 1
fairfield 2
father 2
feels 1
first 2
food 1
for 8
found 1
freedom 1
friend 1
front 1
game 1
garden 1
gets 1
gloves 1
go 1
goes 2
goodbye 1
grandmother 2
growing 1
harry 1
has 2
he 5
helps 1
her 12
him 3
himself 1
his 6
home 1
how 3
husband 1
i 1
if 1
ii 1
iii 1
in 12
intentions 1
is 8
isabel 2
iv 1
ix 1
job 1
joins 1
jonathan 4
josephs 1
keeps 1
kember 2
kezia 5
lacks 1
latter 2
leaves 1
life 1
linda 3
living 1
loathing 1
lottie 2
love 1
loves 1
make 1
marrying 1
meets 1
men 1
miner 1
more 1
morning 2
motherly 1
mrs 4
nap 2
nemeral 1
never 1
no 1
not 2
of 11
old 1
on 3
one 1
out 1
parents 1
photographs 1
picking 1
pip 1
pips 1
play 2
playing 1
plays 1
profusely 1
promise 1
rag 1
rags 1
relief 1
repudiates 1
river 1
rowdy 1
sad 1
said 2
samuel 1
sand 1
saying 1
says 1
seashore 1
she 8
shepherd 1
shows 2
similar 1
single 1
smiling 1
soft 1
sons 1
stanley 5
stile 1
stubbs 1
sunstroke 1
swim 1
sympathy 1
take 1
taking 1
talks 1
tasmania 1
tells 1
that 1
the 25
them 2
then 4
there 1
they 3
thinking 1
thinks 1
to 12
toes 1
town 1
trout 1
turns 2
two 1
uncle 3
underneath 1
up 3
upon 1
v 1
veneer 1
vi 1
vii 1
viii 1
visits 1
walk 1
wanted 1
was 1
washhouse 1
water 1
when 2
while 1
who 1
whom 2
william 1
willpower 1
with 8
women 1
work 1
working 1
worried 1
would 1
x 1
xi 1
xii 1
xiii 1
