4911880
/m/0ctvbb
/m/0ctvbb
Paul Davids

{"/m/06n90": "Science Fiction"}
a 9
able 4
after 1
alderaan 1
alive 2
amusement 1
an 1
and 12
anyone 1
are 4
as 3
at 2
attractions 1
be 1
big 1
body 1
bring 1
by 4
calrissian 1
can 1
capture 1
captured 1
capturing 1
carbonitefrozen 1
care 1
carkoon 1
caused 1
chad 1
crawled 1
creature 1
decoy 1
demonstration 1
did 1
digest 1
discover 1
doctors 2
droid 5
drops 1
during 1
dying 1
eloping 1
escapes 1
eventually 1
experience 1
falcon 1
falling 1
fly 1
for 1
forced 1
fun 1
get 1
goes 2
grand 1
han 4
he 7
heart 1
help 2
her 5
him 4
his 5
hissa 1
hologram 2
home 1
hoping 1
hospital 1
however 1
human 3
hurricane 1
hutt 2
in 4
including 1
infiltrate 1
into 2
is 8
it 1
joined 1
ken 1
killing 1
lando 2
lasers 1
lay 1
leaving 1
leia 12
life 1
luke 1
magic 1
makes 1
manages 1
many 1
marry 1
memories 1
millennium 1
moff 1
moffship 2
mouth 1
new 1
no 1
of 13
on 3
one 1
only 1
operation 1
out 1
owner 1
park 4
pierce 1
pit 1
place 1
plan 3
planet 2
plans 3
proposes 1
quickly 1
ravaging 1
reach 1
replace 1
replica 3
rescue 2
reveal 1
reveals 2
rubble 1
sarlacc 2
saves 1
scared 1
scientist 3
she 1
ship 2
shoots 1
show 1
side 1
some 1
son 1
spares 1
spies 1
still 1
storm 1
take 1
tatooine 2
tells 1
that 3
the 29
they 6
through 1
to 18
trapped 1
treatment 1
trioculus 5
trip 2
turn 1
unbeknownst 1
unfrozen 1
universe 1
upon 1
visit 1
wedding 2
when 5
where 1
while 3
who 1
with 4
world 1
wouldnt 1
wrong 1
zorba 6
