2483627
/m/07h3jl
/m/07h3jl
Peter Carey
1985
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
11 1
a 19
abandoning 1
about 1
accident 1
accidentally 1
accompanied 1
according 1
act 1
adapted 1
aeroplane 3
after 3
against 1
agitator 1
also 3
american 1
amputated 1
an 6
and 24
animal 1
animals 3
annette 2
architect 1
architecture 1
argument 1
as 2
assault 1
at 1
attempt 1
attempts 1
australian 2
backers 1
badgery 2
bear 1
because 1
become 1
becomes 5
becoming 2
been 3
befriends 2
begins 3
between 1
bird 1
bizarre 1
both 1
bottle 1
briefly 1
broad 1
builds 1
bullockherder 1
business 3
but 7
by 5
cage 3
can 1
care 1
characters 1
charles 12
childhood 1
children 3
chinese 1
chronological 1
circumstances 1
claim 1
claims 3
close 1
clutches 1
comes 1
commences 1
commits 1
communist 1
confidence 1
consider 1
considers 1
construction 1
contains 1
continue 1
continues 1
controversial 1
curious 1
dancer 1
daughter 1
davidson 1
dealer 1
decision 1
degree 1
design 1
despite 1
develop 1
dies 1
digressions 1
disaster 1
distraught 1
does 1
dreams 1
emma 5
emporium 2
ends 1
enlisting 1
eventually 1
export 1
extended 1
factory 1
falls 1
family 1
father 1
field 1
finds 1
finger 3
fly 1
following 2
for 4
former 2
fragile 1
frequent 1
frightened 1
from 3
give 1
goanna 3
goes 2
goldstein 1
goon 1
gun 1
had 3
halfbrother 1
has 1
he 9
hearing 1
help 1
her 5
herbert 16
him 1
himself 2
his 11
hissao 3
history 2
household 1
how 1
husband 1
illegally 1
illiterate 1
in 16
into 4
invest 1
investors 2
involved 1
is 9
it 2
izzy 2
jack 5
jailed 1
japanese 1
jar 3
kaletsky 1
kills 1
lands 1
larger 2
leah 3
learning 1
legs 1
lesbian 1
life 3
live 2
living 3
looking 1
love 1
lover 2
lovers 1
main 1
maintain 1
man 1
many 1
married 1
marries 1
mcgrath 1
medical 1
meets 3
mental 1
mentor 1
molly 1
moves 1
much 2
muchtravelled 1
museum 1
nation 1
not 1
novel 1
obliged 1
obtains 1
of 19
off 1
often 1
old 1
on 3
order 2
other 1
out 1
outbreak 1
own 1
part 2
persuades 1
pet 1
phoebe 3
possession 1
potential 1
premises 1
presented 1
presents 1
preserve 1
preserved 1
previously 1
prison 2
protagonist 1
rare 1
rebuild 1
rebuilding 1
rejected 1
relate 1
related 1
relationship 1
release 1
reptile 1
required 1
rescue 1
rest 1
retreats 1
returns 2
road 1
scrape 1
sees 1
selling 1
sells 1
share 1
she 3
shoots 1
shop 2
smuggler 1
smuggling 1
so 1
some 1
son 1
sonia 2
state 1
steals 1
story 1
stroke 1
student 1
studying 1
subsequently 1
successful 1
suffers 1
suicide 1
support 1
teacher 1
teenage 1
that 5
the 30
they 1
thirtythree 1
to 18
torn 1
traumatised 1
trickster 1
tse 1
turned 1
turns 1
two 3
underhill 1
up 1
upon 1
variety 1
viewer 1
violent 1
visions 1
war 1
warnings 1
wealthy 2
weds 1
when 2
whereupon 1
which 1
who 6
whose 1
widow 1
will 1
wish 1
wishes 1
with 7
world 1
year 1
ying 2
youngest 1
