7405449
/m/0260pdm
/m/0260pdm
Joseph Kessel
1958
{"/m/05hgj": "Novel"}
a 8
african 1
and 4
animals 2
around 1
as 1
attend 1
between 1
boarding 1
both 1
by 1
called 1
can 1
certain 1
chooses 1
communicate 1
control 1
crushed 1
cub 1
custom 1
death 1
decides 1
demands 1
everyone 1
everything 1
father 1
finally 1
french 1
friendship 1
from 1
gain 1
gift 1
gives 1
has 1
he 2
her 2
his 2
however 1
idealistic 1
in 4
is 4
kenya 1
killing 1
king 3
leaves 1
lion 3
maasai 1
man 1
marry 1
nairobi 1
narrated 1
narrator 1
of 2
on 1
order 1
ouriounga 2
patricia 6
people 1
plot 1
popular 1
protect 1
prove 1
raised 1
rare 1
respect 1
revolves 1
savanna 1
school 1
she 2
shoots 1
since 1
story 2
teenage 1
the 7
thinks 1
through 1
to 8
tribe 1
view 1
visit 1
was 1
who 1
whom 1
wishes 1
with 4
worth 1
