30819547
/m/0gfds3l
/m/0gfds3l
Edgar Rice Burroughs

{"/m/05hgj": "Novel"}
a 21
abducted 1
aboard 3
about 1
accompanies 1
accomplice 1
achieved 1
adrea 1
adrift 1
afoot 1
africa 2
afterward 3
again 1
against 4
agrees 1
alienate 1
alieshadji 1
all 1
also 1
alternating 1
ambitious 1
an 6
and 41
andresy 5
another 3
any 1
approaches 1
arab 5
arabs 3
are 3
army 3
arrested 1
arrives 1
as 11
assassin 1
assassinate 2
at 5
attacked 1
attempt 1
attempts 3
away 1
aziz 3
back 2
band 2
bandit 1
be 5
bears 1
beats 1
becomes 1
been 1
beloved 1
ben 6
betrothing 1
blank 1
both 1
breaks 1
briefly 1
brother 3
bulvik 2
but 7
by 17
cables 1
caged 1
camp 3
can 1
cannot 1
captain 5
captives 1
captors 2
captured 1
carlyn 7
carrying 1
cavalry 1
chapters 1
chief 1
chieftain 1
claims 1
climbing 1
close 1
coast 1
colonel 2
come 2
comes 1
commits 1
communicate 1
company 1
compares 1
confront 1
confronts 1
confusion 1
congratulations 1
conspirators 5
continues 1
continuing 1
count 4
counter 1
country 6
coup 2
couple 1
court 1
craft 1
date 1
daughter 4
de 1
dead 2
death 1
decide 1
decides 1
demands 1
depart 1
desert 1
desires 1
determined 1
dictator 1
disapprove 1
discovers 2
disliked 1
dispatch 1
dissuading 1
diverging 1
divorcing 1
do 1
doubly 1
dress 1
dubs 1
each 1
el 1
emerge 1
emissary 1
empty 1
enamored 1
encounter 1
encounters 1
encouraged 1
end 1
enemy 1
epileptic 1
escaped 1
european 1
even 1
eventually 4
executed 1
exile 1
fails 1
faithful 1
falling 1
faltering 1
family 1
fatally 1
fates 1
father 2
feet 1
feigns 1
ferdinand 10
finances 1
finds 1
first 1
flocks 1
followed 1
follows 2
for 3
forbidding 1
forestalls 1
former 2
formerly 1
free 2
frees 1
french 5
friends 3
friendship 1
from 7
gardener 1
general 2
girl 2
given 1
giving 1
gone 1
gradually 1
grandson 1
groot 1
guard 1
guest 1
gun 1
had 2
hand 1
hans 4
happily 1
hardly 1
harm 1
has 9
hate 1
have 3
he 21
head 4
hearing 1
heir 1
her 19
herds 1
heritage 1
hilda 5
him 15
himself 2
his 21
hopes 1
horse 1
how 1
however 1
hunt 1
hurt 1
husband 1
implicated 1
in 20
infatuation 1
informs 1
injured 2
inspect 1
intention 1
interested 1
into 2
is 18
it 1
joseph 1
jungle 1
keeping 1
kidnapped 1
kills 2
king 11
lad 1
lady 1
later 1
latter 1
learns 2
letter 2
liaison 1
lies 1
lieutenant 1
lifeboat 1
lion 7
lioness 1
lions 5
live 1
living 1
lomsk 2
longer 1
love 1
lying 1
machinations 1
mad 1
made 1
makes 3
man 2
marauders 3
margin 1
maria 3
marie 5
married 2
marries 1
marry 1
match 1
maximilian 2
means 1
meanwhile 3
meetings 1
meets 2
memory 2
messenger 1
michael 16
might 1
missing 1
monarchy 1
money 1
murdered 2
murders 1
my 1
nakhla 11
name 2
negotiate 1
neighboring 1
new 4
no 1
northern 1
not 1
note 1
nothing 1
novel 1
now 4
nowaggrieved 1
observed 1
of 26
off 1
offended 1
offering 1
officer 2
officers 2
old 2
on 6
one 1
only 3
opening 1
opposition 1
orders 1
other 1
otto 4
out 2
overboard 1
own 2
pair 1
palace 1
parallel 1
parlay 1
parting 1
pass 1
passes 1
past 1
patsy 1
people 3
piloting 1
placing 1
plan 1
plans 1
plot 2
plots 2
position 3
post 1
power 1
predation 1
pretty 1
prey 1
prince 9
princess 1
prior 1
prisoner 1
proceed 1
proceeds 1
promotion 1
prowl 1
put 1
queen 2
quickly 1
raiding 1
rather 1
reads 1
realizing 1
realm 1
reconciles 1
recover 1
refused 2
refuses 1
regiment 1
reinstated 1
remember 1
republic 1
rescue 1
rescued 1
resists 1
restored 1
resume 1
retainer 1
return 2
returns 3
revealed 1
reveals 2
revives 1
rewarded 1
ride 1
rides 1
rift 1
royal 1
ruler 1
saada 6
sacks 1
sarnya 7
saves 1
secretly 1
see 1
seeing 1
seized 1
sell 1
sent 1
separate 1
set 4
she 8
sheik 6
ship 1
shoot 1
shoots 1
shore 2
shot 1
should 1
sidielseghir 2
sister 1
six 2
slavery 1
small 1
sojourn 1
son 1
speak 1
spirited 1
spoiled 1
staff 1
stay 1
steamer 3
still 2
stolen 1
storm 1
story 1
strike 1
strikes 1
succeeds 1
suicide 1
swears 1
swept 1
sympathy 1
take 1
taken 3
teaching 1
tells 1
tends 1
than 1
that 4
the 90
their 4
them 1
then 3
there 1
they 4
thinking 1
this 1
threads 1
threatening 1
threatens 1
three 1
through 1
throws 1
to 47
together 2
told 1
tormentor 1
tortures 1
touch 1
trails 1
tramp 1
turn 3
two 5
ultimate 1
under 1
unfold 1
unwitting 1
up 4
upon 1
vengeance 1
visit 1
visiting 1
vivier 1
waiting 1
war 1
warrior 1
was 2
wealthy 1
wed 1
wesl 5
what 1
when 3
which 3
while 3
who 7
whose 2
wife 3
wild 2
will 1
william 1
wind 1
wing 1
wishes 1
with 17
wounds 2
wrecked 1
years 2
you 1
young 1
