26797749
/m/0bmbt5j
/m/0bmbt5j
Elmore Leonard
1985
a 5
ac 1
an 1
and 3
atlantic 1
away 1
beautiful 1
before 1
blinding 1
boy 1
but 1
citizenbut 1
city 1
cop 1
couple 1
dazzle 1
death 1
die 1
dive 1
doesnt 2
easy 1
figures 1
for 2
forget 1
forgive 1
friend 1
from 1
got 1
hard 1
has 1
he 4
highrise 1
him 3
his 2
hit 1
hooker 1
hurts 1
investigate 1
is 1
it 1
jones 1
just 1
killing 1
magic 1
magyk 1
mama 1
man 1
miami 1
mora 2
naturally 1
of 2
prey 1
psycho 1
puerto 1
put 1
questionable 1
raping 1
really 1
rican 1
senior 1
serious 1
shows 1
so 1
special 1
swan 1
takes 1
teddy 2
the 4
to 3
truths 1
up 1
very 1
vincent 3
wants 2
when 1
where 2
who 1
