16987645
/m/0414mpw
/m/0414mpw
F. Sionil José

{"/m/02xlf": "Fiction"}
1872 1
188 1
1880 1
a 11
abandoned 1
about 1
accompanied 1
acolyte 1
acronym 1
after 2
against 1
aguinaldo 1
aloneistak 1
also 2
american 1
americans 1
among 1
an 4
and 4
another 1
apolonio 1
approaching 1
archipelago 1
arts 1
as 1
aspiring 1
assigned 1
at 4
bagumbayan 1
barrio 1
be 1
become 1
becoming 1
beliefs 1
beloved 1
burgos 1
but 1
by 1
cabugao 1
challenges 1
characters 2
cruelty 1
delivering 2
despite 1
died 1
dignity 1
emilio 1
erupt 1
events 1
execution 1
face 1
family 1
february 1
filipino 2
filipinos 1
finally 1
flee 1
fluent 1
for 3
from 7
fullpledged 1
general 1
gmez 1
goal 1
gomburza 1
governing 1
government 1
hands 1
happen 1
happened 1
he 5
help 1
hindrance 1
his 5
history 1
hundred 1
ilocano 2
in 13
includes 1
inhabitants 1
inherited 1
is 2
islands 1
istak 2
it 1
jacinto 1
jos 1
journey 1
knowledgeable 1
known 1
lack 1
latin 1
leader 1
life 1
lived 1
mariano 1
meaning 1
medicine 1
message 2
mestizos 1
namely 1
novel 3
now 1
occurrence 1
of 14
old 1
on 1
one 1
only 1
or 1
order 1
origins 1
overcome 1
pangasinan 1
parish 1
park 1
period 1
personal 2
philippine 2
philippines 2
poon 2
possible 1
priest 3
principal 1
principles 1
protagonist 1
racial 1
received 1
receiving 1
recreates 1
removing 1
revolution 1
revolutionaries 1
rizal 1
search 1
signs 1
situated 1
societal 1
soldiers 1
southern 1
spaniards 2
spanish 2
stock 1
struggles 1
survival 1
talent 1
task 1
teachings 1
that 2
the 33
their 2
there 1
they 1
this 1
three 3
throughout 1
time 2
to 9
traditional 1
true 1
unity 1
uprising 1
was 8
way 1
were 2
when 2
which 2
who 1
will 1
would 1
yearsthe 1
zamora 1
