1528753
/m/0587_f
/m/0587_f
Cormac McCarthy
1992-05
14 1
a 19
about 2
accompany 1
across 1
affair 2
after 4
again 2
aged 1
alejandra 6
already 1
also 1
an 1
and 28
angelo 1
are 6
as 6
at 5
attempts 1
aunt 2
authenticity 1
authorities 2
away 1
back 3
bay 1
be 4
beautiful 1
been 1
before 1
begins 2
best 1
blevins 15
bolsn 1
border 1
boy 1
boys 2
brief 1
briefly 1
brings 1
burial 1
but 4
by 6
captain 5
catch 1
catches 1
chooses 1
cinegas 1
claims 1
clarified 1
coahuila 1
cole 1
colt 1
condition 1
considers 1
contacted 1
country 1
cowboy 1
cowboys 1
cross 1
cuatro 1
cuchillero 1
daughter 2
de 1
death 1
decides 1
defending 1
died 1
during 1
employees 1
employment 1
encounter 2
encounters 1
end 1
escape 1
eventually 1
executed 1
eye 1
faced 1
family 2
far 1
farther 1
father 1
fertile 1
find 7
finds 1
fine 1
first 3
flees 1
follow 1
for 1
forces 1
found 1
friend 1
from 3
getting 1
go 1
goes 1
grady 23
grandfather 2
grew 1
group 2
gunpoint 1
guns 1
had 1
hands 1
has 2
he 8
her 4
hiding 1
him 4
himself 1
his 13
hope 1
horse 10
horseback 1
horses 1
house 1
huge 1
in 8
insists 1
instead 1
into 3
intuited 1
is 8
it 2
jimmy 1
john 19
keep 1
kidnaps 1
kill 1
killing 1
kills 1
known 1
lacey 1
large 1
learns 2
leave 1
led 1
lifelong 1
mafia 1
man 2
manage 1
manages 1
marriage 1
meantime 1
mexican 5
mexicans 1
mexico 1
more 1
moving 1
must 1
name 1
named 1
nearest 1
negotiate 1
never 2
niece 1
novel 1
oasis 1
of 13
off 1
old 1
older 1
on 3
one 1
origins 1
other 1
out 1
over 1
own 1
owner 4
pair 1
persuades 1
persuading 1
pistol 4
placed 1
police 1
position 1
prison 3
prisoner 1
process 1
procession 1
promise 1
promotes 1
property 1
proposal 1
prospect 1
protects 1
pursued 1
pursuers 1
pursues 1
quite 1
ranch 8
ransom 1
rawlins 11
recover 1
refuses 1
region 1
released 1
responsible 1
retrieve 1
retrieved 1
return 1
returns 2
reunites 1
rides 2
riding 1
rogue 1
runaway 1
runs 1
san 1
says 1
see 2
seems 1
separates 1
set 1
she 1
shoots 1
short 1
shortly 1
sixteen 1
sold 1
something 1
soon 1
south 2
southward 1
specimen 1
state 1
states 1
stolen 1
story 1
take 1
taken 1
takes 1
tells 1
test 1
texas 4
that 5
the 48
them 1
then 3
there 1
they 7
thirteen 1
this 2
three 1
through 1
thugs 1
thunderstorm 1
time 3
to 25
too 1
tow 1
town 3
travel 3
traveling 1
tries 1
turns 1
two 1
undertake 1
united 1
up 1
village 1
watching 1
way 1
western 1
when 2
where 2
while 2
who 4
whom 1
with 7
woman 1
work 2
works 1
wounded 1
year 1
young 1
