2687516
/m/07y08b
/m/07y08b
Stephen Baxter
2000-10-06
a 10
about 1
activity 2
advanced 1
after 1
aftermath 1
alien 2
aliens 2
all 1
also 1
although 1
an 4
and 7
another 1
antiaging 1
any 2
are 4
around 1
as 2
assume 1
at 3
be 1
because 1
becomes 1
before 2
below 1
better 1
build 2
by 2
can 1
centuries 1
chance 1
changing 1
civilization 1
colonize 1
coming 1
completed 1
destroys 1
destructive 1
develop 2
device 1
discovered 1
discovers 1
discovery 1
draining 1
earlier 2
earth 2
economically 1
efforts 1
endemic 1
ends 1
engine 1
enough 1
event 1
eventual 1
eventually 1
exploitation 1
extant 1
extinction 1
fermi 2
follows 1
for 3
foreigner 1
form 1
free 1
from 2
fusion 1
gaijin 2
galaxy 2
gap 2
give 1
group 1
hadnt 1
helping 1
his 1
hoped 1
humanity 1
humans 2
identified 1
immense 1
in 5
information 1
interstellar 2
is 6
it 4
iv 1
japanese 2
kirkwood 2
large 1
life 1
long 1
machines 1
making 1
malenfant 3
many 1
massive 1
moon 1
move 1
named 1
necessary 1
neumann 1
not 1
notes 1
noticed 1
observer 1
of 8
offworld 1
on 3
other 1
out 1
over 1
parachute 1
paradox 2
part 1
potentially 1
predicted 1
prevent 1
probe 1
probes 1
program 1
project 1
prototype 1
pulsar 2
purpose 1
race 1
resources 3
restraint 1
revealed 1
same 2
see 1
selfreplicating 2
sentient 2
shield 1
simply 1
small 1
so 1
solar 1
spacecraft 1
species 1
speech 1
sterilizing 1
story 2
such 1
survival 1
system 3
target 1
techniques 1
teleportation 2
term 1
that 1
the 24
their 2
therefore 2
this 2
threat 1
throughout 1
time 2
to 6
travels 2
type 1
uncover 1
uninhabited 1
universe 2
us 1
use 1
useless 1
version 1
von 1
we 3
who 1
will 1
wipes 1
with 1
without 1
