16622189
/m/03yfl4j
/m/03yfl4j
Jodi Picoult
2008-03-04
{"/m/02xlf": "Fiction"}
a 24
about 2
abusing 2
abusive 1
accident 1
accidentally 1
adam 1
addition 2
admits 1
after 3
again 1
age 1
agree 2
agrees 2
all 2
allow 1
an 4
and 12
another 1
answers 1
apparent 1
are 2
arranges 1
artist 1
as 4
asks 1
at 4
attacks 1
attempt 1
attempts 1
away 1
back 1
be 3
beating 1
become 2
becomes 1
beginning 1
begins 1
behind 1
being 2
belief 1
better 2
blame 1
bloom 1
body 1
book 1
bourne 2
brings 1
broken 1
broom 1
but 1
by 5
can 1
capital 1
case 1
cell 3
chains 1
change 1
character 1
chest 1
claire 7
clarie 1
cleaning 1
close 1
coerced 1
comes 1
commissioner 1
concord 2
condition 1
confusion 1
convicted 1
convicts 1
convince 1
corner 1
corrections 1
counts 1
create 1
date 1
daughter 2
dead 3
death 2
deliberates 1
determines 1
did 1
died 1
dinner 3
discuss 2
discussed 1
discussion 1
disfigured 1
do 1
doctor 1
dog 1
donate 2
donated 1
donation 1
dr 1
driver 1
drunk 1
dudley 2
dufresne 1
during 2
elizabeth 6
emt 2
end 1
expert 1
face 1
faith 1
fall 1
father 8
feel 1
fire 2
fletcher 3
for 4
forgive 1
found 2
foundation 1
friend 1
from 2
gallagher 1
gay 1
girl 1
gives 1
gnostic 4
goes 1
gospel 2
gospels 3
grace 3
guard 3
had 2
hampshire 1
handle 1
hanged 1
has 5
he 8
heart 7
help 1
her 9
him 5
his 15
hiv 1
holds 1
home 2
hospital 1
house 1
huddles 1
ian 3
identified 1
in 10
instead 1
into 2
is 11
it 2
itier 2
june 10
junior 1
juror 2
jury 4
justice 1
keeping 1
kill 2
killed 3
kurt 7
last 1
late 1
later 3
lawyer 1
leaving 1
legal 1
life 1
little 1
locates 1
lover 1
lucius 2
maggie 3
make 1
man 3
marries 1
match 1
media 1
meet 1
meeting 2
meets 1
members 1
michael 9
moving 1
much 1
murder 1
murdered 1
murders 1
named 2
nealon 1
needs 1
new 1
next 1
night 1
no 1
not 1
novel 1
nurse 1
obtain 1
of 15
off 1
offers 1
officer 1
on 6
one 1
only 1
organ 1
other 1
out 1
panties 1
parents 1
parish 1
parts 1
penalty 2
perfect 1
petition 1
picked 1
picks 1
picoult 1
plans 1
pocket 1
police 2
praying 1
pregnant 1
previous 1
priest 2
prison 1
prisoner 2
prisoners 1
process 1
pronounced 1
protect 1
put 1
quotations 1
quoted 1
rabbi 1
reason 1
redemption 1
religious 3
restorative 1
revealed 2
reveals 1
room 1
saw 1
says 1
scene 1
sees 1
sensation 1
setting 1
sexually 2
shay 26
she 4
shot 1
sister 2
sneaks 1
so 1
spaniel 1
spite 1
started 1
starts 2
state 1
stereotype 1
surgery 1
suspect 1
take 1
tells 1
terminal 1
testifies 3
that 8
the 45
their 2
there 1
they 2
thomas 2
three 1
time 2
to 32
took 1
transferred 1
transplant 2
trial 2
tries 2
turns 1
tv 1
two 1
up 2
upcoming 1
uses 1
using 1
visits 2
walked 1
wants 1
was 3
weeks 1
were 1
when 1
where 2
which 2
while 3
who 4
why 1
wife 1
with 6
wright 1
written 1
years 1
yet 1
you 1
young 2
