10858229
/m/02qs6r_
/m/02qs6r_
Erin Hunter
2005-08-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 13
abducted 1
after 1
agrees 1
almost 1
although 1
an 1
ancestors 2
and 13
are 2
arrived 1
as 2
at 4
avoided 1
awry 1
back 1
badger 1
been 1
begin 1
being 1
book 2
both 1
brother 1
build 1
by 2
called 1
cat 3
cats 13
causing 1
cave 2
clan 3
clanbrambleclaw 1
clanlike 1
clans 2
consultation 1
continue 1
creature 1
crowpaw 1
cut 1
dawn 1
decide 1
destruction 1
details 1
discover 1
down 1
each 1
edge 1
effects 1
end 1
endless 1
ends 1
events 1
eventually 1
expected 1
experience 1
fall 1
feathertail 4
find 2
first 1
five 1
followed 1
following 1
food 1
for 1
forest 5
found 1
four 1
from 4
gives 1
go 1
goes 1
going 1
group 1
had 2
has 1
have 3
he 1
help 1
her 1
highstones 1
home 3
however 1
humans 2
hunting 1
impact 1
in 8
including 1
initial 1
intelligent 1
into 2
intrusion 1
is 4
it 1
journey 4
jumps 1
killed 1
killing 1
leading 1
leave 1
lionlike 1
live 1
lost 1
many 1
meanwhile 1
meet 1
members 1
midnight 4
moonrise 1
mountain 1
named 1
new 3
not 1
noticing 1
ocean 1
of 10
on 2
one 1
onto 1
own 1
place 1
plan 1
poison 1
poisoned 1
previous 1
previously 1
prey 1
prophecy 3
protect 1
quest 1
questing 1
range 1
realizes 1
reluctant 1
remaining 1
return 2
road 1
roof 1
rushing 1
savage 1
save 1
sent 1
series 1
set 1
sharptooth 5
shelter 1
silver 3
squirrelpaw 2
stalactite 1
starclan 1
stormfur 4
subsequent 1
succeed 1
takes 1
tawnypelt 1
territories 1
territory 1
that 5
the 40
their 9
them 3
then 2
there 1
therefore 1
they 5
thinks 1
thought 1
through 1
thunderpath 1
to 12
together 1
told 1
trap 1
traveling 1
travels 1
tribe 9
unusually 1
up 1
warrior 1
was 1
water 1
went 1
were 1
which 3
who 1
will 1
windclan 1
with 3
word 1
would 1
