6683299
/m/0gh3sk
/m/0gh3sk
Nadine Gordimer
1974
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 9
actual 1
actually 1
africa 2
afterwards 1
although 2
america 1
an 4
and 4
apartheid 2
are 1
as 3
back 1
be 2
been 1
begins 1
black 5
body 3
brings 1
burial 3
buried 1
bury 1
businessman 1
but 1
buys 1
can 1
case 1
city 1
claim 1
class 1
clear 1
colleagues 1
conservativecapitalist 1
conservatore 1
criticizes 1
daily 1
day 1
dead 2
do 2
emotional 1
explain 1
exwife 1
family 1
farm 4
farming 1
find 1
finds 1
flood 1
for 1
foreman 1
found 1
from 1
gay 1
give 1
gone 1
has 2
haunt 1
have 1
he 4
higher 1
him 2
himself 1
hints 1
his 7
idea 1
if 1
ignoring 1
in 4
influence 1
interested 1
interpreted 2
into 1
intruder 1
is 6
it 4
itil 1
its 1
jacobus 1
know 1
knows 1
land 3
less 1
liberal 1
life 3
look 1
lovers 1
man 3
meaning 1
mehring 4
member 1
natives 1
next 1
no 1
not 3
nothing 1
now 1
of 7
on 7
one 1
out 1
outside 1
outsider 1
own 1
owns 1
paper 1
people 1
piece 1
police 1
position 1
privileged 1
probably 1
profit 1
proper 1
purchase 1
rich 1
run 1
satisfied 1
search 1
seem 1
simply 2
since 1
son 1
south 2
spot 1
stranger 2
surface 1
symbolize 1
than 1
that 3
the 22
there 1
they 1
this 4
to 9
trying 1
under 1
unidentified 1
unknown 1
urgency 1
victims 1
was 1
ways 1
were 1
where 1
while 1
whim 1
white 3
who 3
will 1
with 1
workers 2
