62113
/m/0gs_c
/m/0gs_c
James Hilton

{"/m/059r08": "Psychological novel"}
101 1
1870 1
65 1
a 11
able 1
about 1
academic 1
adolf 1
after 2
age 1
agrees 1
air 1
aloud 1
also 1
although 1
alumni 1
american 1
an 4
and 11
anyone 1
as 8
at 5
averting 1
battlefield 1
before 1
begins 1
being 1
beyond 1
boarding 1
boers 1
book 1
boys 2
breaking 1
breaks 1
british 2
brookfield 3
by 4
calling 1
career 1
changes 1
chipping 1
chips 5
clearly 1
come 1
connect 2
conquers 1
countless 1
dares 1
death 1
deathbed 1
defying 1
depicts 1
despite 2
destroyed 1
devastating 1
die 1
died 1
discernible 1
doddering 1
during 1
educator 1
entered 1
experiences 1
faded 1
fallen 1
fictional 1
fighting 1
fill 1
first 1
for 3
former 1
fossil 1
francoprussian 1
friend 1
friendship 1
german 2
goes 1
had 2
has 1
have 2
he 8
him 2
his 12
hitler 1
holiday 1
honour 1
horrors 1
human 1
i 1
illustrious 1
impact 1
in 4
inability 1
include 1
indeed 1
individual 1
initial 1
inspiring 1
involves 1
is 7
it 2
katherine 1
keeps 1
lacking 1
late 1
level 1
lies 1
life 1
long 2
marries 1
mass 1
master 1
masters 2
mediocre 1
meets 1
military 1
modern 1
morale 1
motif 1
mr 1
much 1
muchbeloved 1
name 1
nickname 1
nostalgia 1
novel 1
of 8
old 1
on 8
one 1
opposite 1
order 1
out 3
own 1
panic 1
petty 1
picks 1
point 1
politics 1
power 1
private 1
proxy 1
public 1
queen 1
quickly 1
raid 1
rapidly 1
reads 1
record 1
recurring 1
remnants 1
response 1
retired 1
retirement 1
rise 1
roster 1
school 3
schoolteacher 1
seen 1
sees 1
sentimental 1
service 1
shortly 1
shyness 1
side 1
social 2
society 1
soulless 1
story 2
strikers 1
students 1
such 1
sustaining 1
sweeping 1
taken 1
tells 1
tenure 2
terminology 1
that 2
the 21
throughout 1
to 9
transcendent 1
unabashedly 1
unleashed 1
up 1
values 1
various 1
victoria 1
victorian 1
views 1
war 5
well 1
were 1
what 1
when 2
who 6
whom 1
whose 1
wife 1
with 1
wits 1
woman 1
world 3
year 1
young 1
