2602588
/m/07q_xl
/m/07q_xl
Terry Brooks
2004-08-31
a 10
advance 1
advisor 1
again 1
against 2
agree 1
aid 2
airshipmounted 1
allies 1
allow 1
among 1
an 1
and 15
aphasia 2
arborlon 1
are 2
armies 1
army 1
aru 1
as 3
assassin 2
atalan 1
attempt 1
attempts 1
aunt 1
away 1
back 2
banishment 1
because 1
been 1
bek 3
break 1
brother 1
but 2
by 5
caged 1
called 1
can 1
captured 1
cinnaminson 2
collar 1
company 1
confrontation 1
conjure 1
contest 1
continue 1
continuously 1
control 1
corrupt 1
creature 1
crossed 1
darkwand 1
dart 1
deception 1
demon 3
demonic 1
demonlike 1
depths 1
desperate 1
destroy 1
destroyed 1
devastating 1
discovers 1
druid 2
druids 3
effect 1
ellcrys 2
elven 1
enchanted 2
enemy 1
exchange 2
federation 2
finally 1
find 3
finds 2
fingers 1
flood 1
for 2
forbidding 3
forced 1
form 3
former 1
four 2
free 1
freeborn 1
friends 1
from 3
furies 1
give 1
go 1
goal 1
grianne 6
has 3
have 2
having 1
he 2
help 1
her 3
herself 1
him 1
his 5
hold 1
hope 1
horde 1
hordes 1
hostage 1
how 1
however 3
in 14
inside 1
intent 1
into 2
is 6
island 2
journey 1
kermadec 1
khyber 1
killed 1
lands 2
last 1
leader 1
leaves 1
led 1
lies 2
locate 1
locating 1
lord 3
magic 2
magical 1
manipulated 1
master 1
meanwhile 2
meet 1
minion 1
moric 1
mystical 1
nemesis 1
new 1
north 1
of 5
ohmsfords 1
on 4
one 1
only 1
over 1
paranor 2
parents 1
party 1
pen 9
people 1
pitted 1
plan 1
position 1
pursued 1
ravinesurrounded 1
receives 1
recognize 1
rescue 1
rest 1
rue 2
saving 1
scrye 1
semiestranged 1
senior 1
shadea 1
shapeshifting 1
she 4
so 1
son 1
straken 3
stronghold 1
subside 1
survival 1
survive 1
take 1
taken 4
talisman 1
tanequil 3
telling 1
that 2
the 36
their 3
them 2
then 1
they 1
this 3
to 17
towards 1
traitorous 1
traitors 1
traitourous 1
trapped 1
tree 2
troll 1
try 1
turned 1
two 1
unable 2
unleashed 1
unwillingly 1
uses 1
using 2
war 1
waters 1
weapon 2
weka 1
well 1
when 1
which 2
who 2
wishsong 1
with 1
wooden 1
would 1
wye 1
