10311192
/m/02q844q
/m/02q844q
Christine Feehan

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 4
abandoned 1
abilities 1
ability 2
about 1
abundance 1
access 1
admits 1
adopted 1
adoption 1
adult 1
after 2
again 2
age 1
agrees 1
alarming 1
all 3
along 1
also 4
an 1
anchors 2
and 26
animals 1
animosity 1
another 1
answers 1
anything 1
are 2
argue 1
as 1
asks 2
at 3
attraction 2
away 1
barriers 2
be 1
became 1
because 3
become 1
been 1
before 1
began 1
begin 1
begs 1
being 1
believes 1
betrayed 1
between 1
biological 1
bleeds 2
block 1
brain 2
break 2
breaking 1
brings 1
brutal 1
but 5
by 7
called 1
can 2
cannot 1
captain 2
care 1
ceo 1
children 1
choosing 1
chose 1
clear 1
colonel 1
commanding 2
complicated 1
complications 1
computer 2
confronts 1
contact 1
contacts 1
control 1
could 2
couldnt 1
daughter 3
days 1
death 2
deaths 1
denies 1
denying 1
despite 2
die 1
dinner 1
discover 1
discovers 1
dissect 1
does 1
doesnt 3
done 3
donovans 3
dr 4
draw 1
dreams 1
due 1
dumped 1
dying 1
effects 1
electrodes 1
eleven 1
emotions 1
enhancing 2
escape 2
european 1
even 4
evident 1
exercises 1
experienced 1
experiment 4
experimented 1
families 1
father 5
fathers 2
fears 1
feelings 1
feels 1
felt 2
female 1
filter 1
find 2
finds 2
first 1
for 5
forces 2
forgiveness 1
frank 1
from 3
function 1
general 1
get 1
ghostwalker 1
ghostwalkers 2
girls 4
gone 1
great 1
group 1
had 6
has 5
have 4
he 24
head 1
headaches 1
help 5
her 13
hes 2
hidden 1
hide 1
higgens 3
higgins 4
him 7
his 11
hit 1
home 2
how 1
if 1
immediate 2
in 9
induce 1
insistent 1
into 4
involved 1
is 13
it 6
itself 1
jarred 1
join 1
just 2
kept 1
kill 1
killing 1
knows 1
lab 2
laboratory 1
lack 1
large 1
leader 1
leaving 1
like 2
lily 12
lost 1
love 1
luckily 1
made 1
man 1
manipulation 1
market 1
meet 1
meets 1
men 16
mental 1
miller 4
millers 1
more 3
move 1
murder 2
murdered 2
natural 1
need 1
next 1
no 1
not 2
notes 3
now 2
objects 1
ocean 1
of 18
officer 2
on 3
once 2
one 3
only 3
open 1
or 1
order 2
orphanages 1
other 2
others 3
over 1
overload 1
overwhelming 1
pain 1
painful 1
person 1
peter 5
peters 1
philip 1
planted 1
plotting 1
powerful 2
problems 2
process 4
project 2
proof 1
psychic 5
put 1
ranier 1
real 1
realizing 1
reason 1
rebuild 1
recording 1
reluctant 1
remaining 1
reputations 1
resorted 1
resounding 1
responsible 2
restore 1
result 1
ryland 9
sabotage 1
same 2
say 1
search 1
secret 1
secretly 1
seizures 1
sell 1
separating 1
several 2
she 14
shes 1
shocks 1
show 1
side 1
situation 1
so 1
some 2
somehow 1
someone 5
special 1
stay 1
steal 1
stop 1
stopped 1
stunned 1
stunningly 1
subjects 2
succeeded 1
success 1
such 1
suffer 1
supposedly 1
sure 1
suspecious 1
suspects 1
taken 1
tape 1
teaches 1
team 1
techniques 1
telepathically 1
tells 2
that 16
the 50
their 4
them 4
then 1
there 2
theres 1
these 1
they 4
thinks 2
this 1
thornton 1
thought 1
thoughts 1
three 1
to 28
too 1
tried 1
trust 1
trying 2
unable 2
under 1
undo 1
up 1
walk 1
was 5
welltrained 1
were 2
what 2
when 2
while 1
whitney 8
whitneys 3
who 2
with 9
within 1
women 1
worked 1
wouldnt 1
wrong 2
year 1
young 2
