17351050
/m/043p6fb
/m/043p6fb
Mercedes Lackey
1995
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 11
able 1
about 1
after 1
again 1
agrees 1
aliiance 1
all 2
alliance 2
allowed 1
along 1
also 1
altra 2
ambassador 5
an 1
and 19
andesha 3
any 1
apologizes 1
are 1
army 2
around 1
as 6
asks 1
assigned 1
aunt 1
authorizing 1
basically 1
be 1
been 3
before 1
behavior 1
being 1
but 1
by 2
can 1
carry 1
collect 1
companion 1
companions 1
confines 1
confronting 1
conquer 1
consider 1
contents 2
continue 1
copy 1
create 1
currently 1
deal 3
death 1
decides 1
defect 1
desk 1
devotes 1
died 1
discover 1
documents 1
doesnt 1
doing 1
duke 10
elected 1
emperial 1
emperor 1
empire 2
ended 1
especially 1
eventually 1
ever 1
find 1
firecat 2
firesong 1
florian 1
following 1
for 3
from 3
further 1
future 1
gate 1
go 1
goes 1
going 1
good 1
group 1
hands 2
hansa 2
hardorn 4
harm 1
has 8
having 2
he 9
help 3
helping 1
her 2
him 5
his 11
homeland 1
however 1
idea 1
imperial 1
in 7
inherited 1
into 1
is 5
isnt 1
it 1
join 2
joining 1
jump 1
jumps 1
karal 8
karsite 2
keep 1
kids 1
later 1
leave 1
leaves 1
like 1
local 1
locked 1
lost 1
lying 1
mage 1
mages 1
magic 2
matters 1
mean 1
meanwhile 2
men 2
mentor 1
message 2
much 1
natoli 1
needless 1
not 2
number 1
of 9
old 1
on 2
one 1
order 1
other 2
over 3
own 1
people 3
previous 3
proceed 1
punished 1
queen 1
read 1
relations 1
returns 1
room 1
say 1
seal 1
second 1
seems 1
sejanes 1
selenay 2
sent 2
sever 1
several 1
she 1
shinain 2
shocked 1
silverfox 1
since 1
snowstorm 1
solaris 3
some 1
son 1
special 1
spell 1
spies 1
spy 1
start 1
storehouse 2
storms 2
stranded 1
sun 1
take 3
takes 1
taking 1
teacher 1
that 5
the 28
them 1
then 2
there 1
they 2
thoughts 1
ties 1
time 1
to 28
tower 1
tremane 10
tube 2
ulrich 1
up 2
use 1
uthro 1
valdemar 5
very 1
visits 1
week 1
well 1
what 1
when 2
who 3
will 1
wishes 1
with 8
would 1
writes 1
