23855758
/m/06_w75s
/m/06_w75s
Carrie Ryan
2009-03-10
a 2
about 1
adventure 1
and 4
are 2
be 1
been 2
before 1
behind 1
believes 1
beyond 1
breaching 1
by 4
coming 1
could 1
down 1
earth 1
enclosed 1
escape 1
especially 1
expelling 1
fascinated 1
fence 2
fences 2
fencing 1
figuring 1
find 1
for 1
forest 1
free 1
friendship 1
from 1
gates 2
greatgreatgreatgrandmother 1
guardians 1
habitation 1
has 1
her 2
human 1
if 1
in 2
infected 1
is 4
it 1
knows 1
lead 1
left 1
lies 1
life 1
lives 1
love 1
mary 3
must 1
mystery 1
no 1
ocean 1
of 1
on 3
one 1
only 3
open 1
other 1
out 1
passed 1
paths 2
raised 1
reach 1
ruled 1
says 1
she 3
sisterhood 2
starts 1
stories 1
surrounded 1
that 2
the 13
themselves 1
there 2
those 1
three 1
through 1
town 1
true 1
two 1
village 2
ways 1
when 1
where 1
while 1
whove 1
would 1
zombies 1
