851739
/m/03h5j9
/m/03h5j9
Iain Banks
1999
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
38 1
437 1
a 18
about 1
acquisition 1
adopted 1
after 1
age 1
airport 1
also 1
although 1
am 1
an 6
and 10
antiislamic 1
are 2
as 2
assassinated 1
at 6
attempt 1
bay 1
be 2
become 1
becomes 1
been 1
before 2
being 3
believe 1
bhutan 1
bleak 1
book 2
broken 1
business 5
businessspeak 1
but 2
buzetski 1
by 2
california 1
call 1
case 1
catholic 1
changed 1
chapter 1
chilp 1
chip 1
church 1
cia 1
commercial 1
company 2
considering 1
consortium 1
container 1
continues 1
conversations 1
couffabled 1
counterpoint 1
country 2
cover 1
crown 1
cynical 1
daniels 1
days 1
democratic 1
descends 1
destroyed 1
discovers 1
doing 1
doubles 1
drugged 1
dung 1
dvd 1
dzung 1
early 1
emigration 1
emperor 1
empire 1
even 1
evidence 1
exaggerated 1
expertly 1
explained 1
extracted 1
extramarital 1
falls 1
follows 1
football 1
for 2
foulmouthed 1
four 1
freddy 1
friend 1
from 4
gain 1
given 2
goodheartedness 1
half 1
happenings 1
has 3
having 1
he 2
heated 1
her 6
heroine 1
high 1
higherup 1
himalayan 1
hired 1
his 2
if 1
important 1
in 13
incendiary 1
influence 1
into 1
invented 1
investigating 1
involved 1
is 9
it 5
its 2
japan 1
job 1
just 1
kate 4
kathryn 1
lasted 1
less 1
level 1
longlived 1
love 1
luce 1
lusts 1
man 2
manufacturing 1
married 1
meeting 1
mentor 1
merchants 1
mike 1
milk 1
modern 1
month 1
multinational 1
named 1
national 1
nations 1
nebraska 1
negotiating 1
nephew 1
not 4
now 1
of 12
on 2
one 1
order 1
organisation 2
out 1
over 1
owned 1
palace 1
people 1
phone 1
pitch 1
place 1
plan 1
plant 1
point 1
portable 1
possible 1
poverty 1
powerful 1
predates 1
prince 1
provides 1
randomly 1
resembles 1
risen 1
roman 2
royal 1
scene 1
screenplay 1
seat 1
secretive 1
several 1
sex 1
she 8
ship 1
shipyard 1
silicon 1
sinisterly 1
sixtysix 1
small 2
so 1
someone 1
sonmiani 1
sport 1
starting 2
starts 1
stealing 1
stephen 2
story 1
strange 1
summoned 1
suspect 1
suspicious 1
suvinder 1
takes 1
taking 1
talk 1
teeth 1
telephone 1
telman 2
term 1
than 1
the 28
therapydamaged 1
they 3
theyre 1
through 1
thrust 1
thulahn 3
to 8
too 1
travels 1
tutelage 1
uncle 1
under 2
underdeveloped 1
united 1
up 1
utterly 1
version 1
very 1
vulnerable 1
way 1
weaponcollecting 1
were 1
what 1
which 1
who 6
wife 1
with 5
world 2
would 1
writing 1
wrongdoing 1
yak 1
yet 1
