26133046
/m/06mp_f7
/m/06mp_f7
Robert B. Parker
1991
{"/m/028v3": "Detective fiction"}
a 2
along 1
an 2
anyway 1
apparently 1
as 2
asking 1
becoming 1
believe 1
boston 1
cant 2
case 1
contacting 1
detective 1
doesnt 1
extended 2
favor 1
find 1
for 2
giacomin 1
has 2
he 4
help 1
her 1
him 3
his 5
home 1
in 3
intention 1
introducing 1
is 1
just 1
lacking 1
leave 1
left 1
locate 1
mother 3
motherly 1
no 1
of 1
on 1
paul 6
pay 1
period 1
prentice 1
real 1
semiadopted 1
she 1
skills 1
sleuthing 1
somewhat 1
son 1
spenser 4
such 1
takes 2
telling 1
the 1
though 2
to 2
trip 1
visits 1
voluntarily 1
wants 1
while 1
who 1
without 2
would 1
