19918116
/m/04p_yd2
/m/04p_yd2
Helen Garner
1984
{"/m/05hgj": "Novel"}
a 4
and 4
apparently 1
are 1
arrival 1
athena 2
brings 1
by 1
comfortable 1
concerns 1
couple 1
daughter 1
dexter 3
disabled 1
disrupted 1
drawn 1
elizabeth 2
foundations 1
from 1
her 2
ideas 1
in 1
into 1
is 2
lead 1
life 1
lover 1
melbourne 1
novel 1
nut 1
of 3
one 1
past 1
philip 2
poppy 1
prepubescent 1
relationship 1
rut 1
selfsufficient 1
set 1
severely 1
sister 1
sometime 1
sons 1
test 1
the 3
their 3
them 1
through 1
tough 1
two 1
values 1
vicki 2
who 1
whom 1
whose 1
with 2
world 1
