24253813
/m/07kg1hw
/m/07kg1hw
Chetan Bhagat
2009-10-08
{"/m/02xlf": "Fiction"}
a 11
about 2
agreeing 1
ahmedabad 1
along 1
an 1
ananya 12
and 14
are 1
as 5
asking 1
at 4
autobiographical 1
babies 1
batch 1
be 1
beautiful 1
become 2
begins 1
belong 1
best 1
between 1
big 1
biggest 1
birth 1
both 3
boy 1
boys 1
brother 1
but 3
by 4
called 1
character 1
chennai 1
citibank 1
comes 1
concert 2
continuation 1
convince 3
convinced 2
convinces 3
cousin 1
cultures 1
days 1
decide 1
deciding 1
deeply 1
delhi 1
different 1
digs 1
do 3
doesnt 1
dream 2
each 4
end 2
ends 3
enemy 1
even 1
every 1
family 2
father 2
few 1
finally 1
finds 1
first 3
fishy 1
five 1
food 1
for 2
fresher 1
friends 1
from 3
get 4
girl 2
girlfriend 1
giving 2
go 1
goa 1
had 1
hail 1
hard 1
hari 1
hariharan 1
have 2
he 1
help 1
helping 1
helps 1
her 4
him 2
his 2
humorous 1
ie 1
iim 1
in 8
india 2
inequality 1
interesting 1
involved 1
is 4
it 2
jobs 1
know 1
krish 14
last 2
later 1
like 2
love 1
madrasi 1
make 2
manju 1
married 3
marry 2
mean 1
meet 1
mess 2
mom 3
more 1
mother 1
narrated 1
night 1
not 2
novel 1
now 2
of 8
office 1
often 1
one 1
organised 1
other 3
parents 5
partly 1
person 1
plans 1
point 2
powerpoint 1
presentation 1
problem 1
punjabi 2
quarreling 1
quite 1
really 1
relatives 1
romantically 1
sang 1
say 2
serious 1
she 3
should 1
sights 1
sing 1
singing 1
so 1
someone 1
something 1
staff 1
state 1
states 1
story 2
study 1
subramanium 1
succeeds 1
tagged 1
taking 1
tamil 1
tamilian 1
that 3
the 11
their 3
theirs 1
them 2
then 1
they 10
this 2
thought 1
time 1
to 17
together 1
tone 1
tried 1
tries 2
true 1
try 1
ts 1
tuition 1
twin 1
two 1
up 2
very 1
view 1
want 1
was 4
wedding 1
well 1
what 1
when 1
where 1
who 3
will 1
with 5
within 1
