5641294
/m/0dxsyx
/m/0dxsyx
Sol Stein
1971
a 12
about 1
acting 1
actual 1
advantage 1
again 1
against 1
aggravates 1
alive 2
also 1
an 4
and 15
are 3
area 1
armenian 1
arrested 1
articulate 1
as 10
assault 2
at 5
attack 2
attacked 1
attacks 1
aware 1
be 1
became 1
becomes 1
birthday 1
book 2
boy 1
bright 1
brilliant 1
brute 1
but 5
by 4
call 1
can 3
car 1
card 1
career 1
case 2
characters 2
charge 2
comments 1
controversial 1
criminals 1
dad 2
decided 1
defend 2
defending 1
defense 1
deliberately 1
depth 1
devastating 1
did 1
directed 1
discredits 1
done 1
down 1
ed 9
ends 1
evening 1
event 1
eventually 1
every 1
exactly 1
excuse 1
family 1
father 1
firm 1
first 1
follow 1
for 1
free 1
from 1
front 1
gang 1
german 1
get 2
girlfriend 2
gives 1
go 1
happens 1
has 4
have 1
he 13
hence 1
hiding 1
him 3
himself 1
his 7
hobby 1
home 1
hoodlum 1
hook 1
horribly 1
how 1
however 1
if 1
in 10
inarticulate 1
insight 1
interest 1
interpreted 1
interspersed 1
intervals 1
intimidates 1
involved 1
involvement 1
is 12
it 3
japhet 2
jewish 1
joined 1
karate 1
key 1
killed 1
kills 1
knows 2
koch 2
law 1
lawyer 3
leaping 1
least 1
left 1
life 1
like 1
looks 1
lowlifes 1
made 1
magic 1
magician 2
manages 1
mindless 1
monster 1
more 2
most 2
named 1
narrative 1
nearly 2
never 2
new 1
newly 1
nice 1
night 2
note 1
nothing 1
now 2
of 7
off 1
offers 1
old 2
on 4
one 1
only 1
opportunity 1
ossining 1
others 1
out 1
partner 2
path 1
performing 1
performs 1
person 1
place 1
play 1
portrayed 1
portrays 1
previously 1
proceeds 1
prom 1
promising 1
promoted 1
provided 1
psychiatrist 1
reader 4
really 1
results 1
say 1
school 3
see 1
seems 1
self 1
sends 1
senior 2
serious 1
sixteen 1
society 1
started 1
statements 1
still 1
story 3
straightforward 1
stung 1
style 2
surnames 1
taken 1
takes 1
talented 1
teaches 1
terence 3
that 2
the 30
their 1
them 1
they 3
third 1
this 2
thomassy 4
though 1
throughout 1
thuggish 1
time 1
title 2
to 13
told 1
took 1
trained 1
tricks 1
uncomfortably 1
undesirable 1
unfolds 1
unsure 1
urek 9
violent 2
wait 1
walks 1
was 1
wasp 1
what 1
when 1
while 1
who 3
whom 2
why 1
with 4
witnesses 1
work 1
would 1
written 2
year 1
years 1
york 1
you 1
