10279021
/m/02q77jm
/m/02q77jm
Adam Roberts
2002-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
60 1
a 12
ae 7
agency 1
ai 1
all 1
also 1
ample 1
an 4
and 4
apparently 1
application 1
are 1
artificial 2
as 1
atmosphere 1
attempt 1
be 3
been 1
before 2
being 1
black 2
body 2
broken 1
but 1
by 4
can 2
carrying 1
cause 1
causes 1
cleared 1
collapse 1
committed 1
completing 1
completion 1
connection 2
cope 1
create 1
creating 1
crime 1
crimes 1
despite 1
destroy 1
detain 1
die 1
difficulty 1
directors 1
distributed 3
do 1
does 1
doing 1
dottech 5
due 1
during 1
effects 1
employed 1
enormity 1
entire 1
environment 1
escape 2
escapes 1
eventually 2
every 1
executed 1
explain 1
explored 1
for 3
forms 1
from 2
given 1
has 2
having 1
he 8
held 1
her 1
herself 1
hightech 1
him 4
his 8
hole 1
holes 1
however 1
human 2
humans 1
immediately 1
implanted 1
imprisoned 1
in 6
inhabitants 2
inherent 1
inhibiting 1
inside 1
instructions 1
intelligence 2
involves 1
is 8
it 1
its 4
kill 1
killing 1
klabier 1
largescale 1
learns 1
lethal 1
lives 1
locate 1
mainly 1
makes 1
meanwhile 1
meets 1
million 1
mission 1
motive 1
murder 3
mysterious 1
named 1
nanotech 1
natural 1
nature 1
necessary 1
no 1
nor 1
not 2
novel 1
of 11
onward 1
operate 1
operation 1
opportunity 1
ordered 1
out 3
picked 1
placed 1
planet 4
plasma 1
police 1
policewoman 1
power 1
prevents 1
prison 2
processing 1
programming 1
protected 1
purged 1
quantum 2
rarely 1
recuperates 1
relays 1
return 1
reveal 1
revealed 1
reveals 2
romantic 1
secret 1
she 2
ship 1
so 2
society 1
some 1
something 2
space 1
stolen 1
stone 1
sublight 1
sun 1
target 1
task 1
technology 1
that 3
the 21
their 1
them 1
themselves 2
theory 1
they 2
this 2
throughout 1
time 1
to 14
told 1
traveling 1
travels 2
tt 1
unable 1
unaugmented 1
uncommon 1
unimpeded 1
until 1
up 1
upon 2
use 2
uses 1
was 1
waveforms 1
where 3
which 2
while 1
who 2
will 2
wiping 1
with 4
woman 1
