27203216
/m/0bwgtzw
/m/0bwgtzw
Li Yu

a 19
affair 1
also 2
an 2
and 16
aspiration 1
attempted 1
bandit 1
be 3
beating 1
beautiful 2
become 3
becomes 1
becoming 1
boasts 1
both 1
brothel 3
brothers 1
brush 1
budai 3
buddhism 1
buddhist 1
but 2
by 3
called 3
calligraphy 1
capital 1
carnal 1
causing 2
city 1
cloth 1
clutching 1
come 1
comes 1
commits 1
committed 1
decent 1
decides 2
desire 1
determined 1
disguises 1
dog 1
each 1
egoistic 1
elopes 1
embeds 1
encounters 1
enjoy 1
enlarged 1
exhibits 1
fame 1
fatherinlaw 1
finally 1
follow 2
footsteps 1
from 1
furious 1
genitals 1
gets 1
give 1
given 1
glory 1
good 1
grave 1
has 3
he 7
help 1
her 3
heshang 3
him 4
himself 1
his 6
household 1
however 1
husband 1
ignored 1
illicit 1
in 8
include 1
indulge 1
infiltrates 1
into 1
introduces 1
involved 1
is 7
it 1
kidney 1
kunlun 3
laoshi 3
later 3
learns 1
life 1
line 1
literally 1
lust 1
magician 1
makes 1
man 1
many 1
married 1
marry 2
mat 2
meanwhile 1
meditate 1
meets 2
monk 6
more 2
most 1
neither 1
nor 1
notes 1
novel 2
of 11
often 1
on 4
once 2
one 2
or 2
path 1
penis 1
penitence 1
persuade 1
philandering 1
powerful 1
prayer 2
prefers 1
pregnant 1
prostitute 1
protagonist 1
purpose 1
quan 4
realises 1
recognises 1
relationship 1
relationships 1
revenge 1
ruiyu 1
ruizhu 1
sack 1
sai 3
said 1
says 1
scholar 1
seeks 1
sells 1
senses 1
sex 2
sexual 1
shame 1
she 2
sheng 18
show 1
sin 1
sit 1
sitting 1
special 1
studying 1
suicide 1
sworn 1
take 1
taoist 2
technique 1
temple 1
that 3
the 14
them 2
they 1
this 1
tianji 1
tiefei 1
title 1
to 17
trained 1
trip 1
under 2
unfinished 1
unrealised 1
up 1
urged 1
visits 2
ways 1
weiyang 14
when 2
which 1
while 2
who 3
wife 6
wisdom 1
with 9
woman 2
women 2
world 1
woyun 2
writing 1
xiangyun 1
xuanyuanzi 2
yanfang 1
yiyun 2
young 2
yuxiang 5
zafu 1
zhenren 1
