1909713
/m/065gv2
/m/065gv2
Ross Macdonald

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense"}
10000 1
185 1
a 9
action 2
after 1
alfred 1
an 3
and 6
angeles 1
as 1
asked 1
asylum 1
attempt 1
avenge 1
based 1
being 1
binge 1
bombed 1
book 2
bought 1
bret 1
but 1
calls 1
character 1
characters 2
companion 1
concentrated 1
considered 1
cut 1
days 1
deadly 1
denied 1
digging 1
double 1
drinking 1
during 1
duty 1
editing 1
events 1
find 1
for 1
four 1
freshly 1
from 1
functioned 1
good 2
had 1
have 1
he 4
her 2
him 2
his 6
hits 1
home 2
in 5
information 1
into 2
is 5
jogs 1
jr 1
keeps 1
knopf 1
knowing 1
lapse 1
leave 1
lies 1
lieutenant 1
limited 1
long 1
los 1
lovers 1
loves 1
macdonald 1
main 2
major 1
makes 1
married 1
meanwhile 1
memoryand 1
mental 1
mind 1
minimum 1
more 1
movie 1
murder 1
murdered 1
mystery 1
negative 1
never 1
novel 3
number 1
obviously 1
of 7
on 2
only 1
or 1
other 1
out 1
over 1
overnight 1
passages 1
perhaps 1
possible 1
psychological 1
publisher 1
reader 1
returns 1
revisions 1
screenwriter 1
seen 1
sends 1
sense 1
ship 1
shock 1
shore 1
single 1
slowpaced 1
solutions 1
specialist 1
story 1
straightforward 1
streets 1
successful 1
taylor 3
than 1
that 1
the 19
theories 1
this 1
thriller 1
through 1
throughout 1
to 4
treated 1
two 1
unraveling 1
war 1
was 1
water 1
what 2
while 1
who 3
whole 1
wife 3
with 1
within 1
woman 1
words 1
